dataset,c1,c2,cls_coef,density,f1.mean,f1.sd,f1v.mean,f1v.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,hubs.mean,hubs.sd,l1.mean,l1.sd,l2.mean,l2.sd,l3.mean,l3.sd,lsc,n1,n2.mean,n2.sd,n3.mean,n3.sd,n4.mean,n4.sd,t1.mean,t1.sd,t2,t3,t4
16,0.8611247055579297,0.3140295161591631,200000001.0,1.0106382978723405,,,,,,,0.0,,0.0,,,,,,,,,,1.0,0.0,,,,,,,1.0,,1.2526315789473683,,
17,0.9785707523227566,0.0574223327673211,200000001.0,1.0035211267605637,,,,,,,0.0,,0.0,,,,,,,,,,1.0,0.0,,,,,,,1.0,,0.3719298245614035,,
18,0.3478169135710633,0.8611410118406889,0.941919712447538,0.7717126838040833,0.979738000138327,0.0197583405657234,0.461877387677824,,0.0,,0.782608695652174,,0.6956521739130435,,0.9451379834659172,0.0653257956209192,0.0612244897959022,,0.0652173913043477,,0.0652173913043477,,0.9206049149338374,0.1376811594202898,,,0.1159420289855072,0.3213217176753973,0.2536231884057971,0.4366694486010954,0.3333333333333333,0.533728980531023,0.0289855072463768,0.0072463768115942,0.25
19,0.7014714598838974,0.555330829240104,1.0,1.0,0.9620244025702116,0.0295852357180304,0.1199937669156252,,0.0,,0.8,,0.24,,0.99,0.1,0.0079078737267057,,0.02,,0.06,,0.9564,0.43,0.4794112549695428,0.0368225154749292,0.26,0.4408440022768081,0.08,0.2726599243442907,0.0099999999999999,1.7434626923745965e-18,0.17,0.13,0.7647058823529411
20,0.8414646362081756,0.349290194783757,0.8895160271208876,0.84,0.9571562290102104,0.0492131780551767,0.2608680556570191,,0.0,,0.28,,0.0,,0.9387791377539104,0.0794679658847763,0.0373448332728956,,0.06,,0.04,,0.9392,0.38,0.4035120827885429,0.1673799492819334,0.25,0.4351941398892446,0.16,0.3684529491774707,0.0555555555555555,0.1052851714167832,0.13,0.01,0.0769230769230769
21,0.869137580612638,0.2991150442477877,1.0,1.0,0.964330445831431,0.0329833777817547,0.6754664477800157,,0.0,,0.7741935483870968,,0.0,,0.967741935483871,0.1796053020267749,0.0,,0.0,,0.0,,0.9125910509885536,0.6774193548387096,0.4860983255868356,0.0392130693479999,0.5806451612903226,0.501610310127101,0.0,0.0,0.0344827586206896,0.0119803443985194,1.1290322580645162,0.032258064516129,0.0285714285714285
22,0.8071675554288905,0.4066045723962743,0.7494845369729095,0.993556701030928,0.97177646564736,0.0535560478939424,0.0220130200860963,,0.0,,0.5876288659793815,,0.0412371134020618,,0.977134357476308,0.0994403481166565,0.0,,0.0,,0.1030927835051546,,0.9449463279838451,0.4536082474226804,0.4101297043063345,0.1981000167462286,0.2989690721649484,0.4601844841475773,0.0309278350515463,0.1740215651999463,0.0119047619047619,0.0070657005652093,0.7525773195876289,0.0206185567010309,0.0273972602739726
23,0.7347813522127804,0.5124780316344464,1.0,1.0,0.97240051709506,0.0594806733085854,0.013627010916844,,0.0,,0.7065217391304348,,0.0,,0.9891304347826086,0.1042572070285373,0.0,,0.0,,0.0326086956521739,,0.9072542533081286,0.4456521739130434,0.4654142731460983,0.067756658570434,0.1956521739130435,0.3988756294854575,0.0217391304347826,0.1466295975972901,0.0222222222222222,0.0761559383641232,0.8478260869565217,0.0217391304347826,0.0256410256410256
24,0.7107483185701137,0.5437298969024895,0.726637852855099,0.9949748743718592,0.9981604944725226,0.0021380670970022,0.8366588661812634,,1.0,,1.0,,1.0,,0.998745294855709,0.0354218173487907,0.1628151260504202,,0.1944792973651191,,0.1944792973651191,,0.9983942293009072,0.2973651191969887,,,0.2346298619824341,0.4240333609725707,0.2120451693851945,0.4090133464266826,0.0080645161290322,0.0407301172798092,0.0263488080301129,0.0188205771643663,0.7142857142857143
25,0.4278385440590877,0.81012613252798,200000001.0,1.0027397260273974,,,,,,,0.0,,0.0,,,,,,,,,,1.0,0.0,,,,,,,1.0,,0.0737704918032786,,
26,0.8395304981054318,0.3526605504587156,1.0,1.0,0.9204524140831172,0.1667109758490464,0.0450822716256644,,0.0,,0.044776119402985,,0.0,,0.9850746268656716,0.1221694443563052,0.0,,0.0,,0.0,,0.575629316106037,0.1194029850746268,0.487492549785044,0.0206574495750737,0.044776119402985,0.2083729044282493,0.0,0.0,0.0158730158730158,0.0075216810549099,1.208955223880597,0.0149253731343283,0.0123456790123456
27,0.954434002924965,0.1176470588235294,1.0,1.0,0.9317784256559768,0.0950825506444631,0.0327766076249008,,0.0,,0.8571428571428571,,0.0,,0.9821428571428572,0.1336306209562122,0.0,,0.0,,0.0,,0.9821428571428572,0.3392857142857143,0.5,0.0,0.1607142857142857,0.3705909636481472,0.0,0.0,0.0178571428571428,3.5008453019119215e-18,0.2678571428571428,0.2321428571428571,0.8666666666666667
28,0.6962122601251458,0.5617977528089888,0.696651786079934,0.8911290322580645,0.86335210332914,0.1051568863788618,0.3284173350828153,,0.3299663299663301,,0.75,,0.625,,0.9082947444168308,0.1535477938780834,0.1271277760563204,,0.15625,,0.125,,0.814453125,0.3125,0.3122784242404556,0.2134823508965067,0.1875,0.396557769456266,0.125,0.3360107525161235,0.0344827586206896,0.0096854389592063,0.0625,0.03125,0.5
29,0.9852281360342516,0.0399999999999998,1.0,1.0,0.9478433863623552,0.0531394403119006,0.1028976203416551,,0.0,,0.8571428571428571,,0.7142857142857143,,0.9761904761904762,0.1543033499620919,0.0232558139534883,,0.0714285714285714,,0.0,,0.9642857142857144,0.7619047619047619,0.5072749397968898,0.0659305486561325,0.4761904761904761,0.5054867366041313,0.2142857142857142,0.4152997322366327,0.1428571428571428,0.314970394174356,0.5238095238095238,0.2142857142857142,0.4090909090909091
30,0.7691928290130138,0.4644913627639155,1.0,1.0,0.9648539758396388,0.0466944092597914,0.1584529831497806,,0.0,,0.8,,0.8,,0.9975,0.05,0.0488642941754461,,0.0799999999999999,,0.0775,,0.99010625,0.1975,0.480483585439879,0.0360082591901482,0.1275,0.3339499309641753,0.1075,0.3101357936877261,0.0048543689320388,0.0337915511931434,0.045,0.0325,0.7222222222222222
31,0.9919924034538556,0.0219178082191779,0.601629074055857,0.9658605974395448,0.9697169710136077,0.0144387351565179,0.7329310374221775,,0.6701298701298699,,0.9210526315789472,,0.8947368421052632,,0.9297372857944496,0.1481781011753805,0.1995351000118821,,0.368421052631579,,0.3947368421052631,,0.9369806094182824,0.6842105263157895,0.4573676125907022,0.1575199887636819,0.3421052631578947,0.4807829082199318,0.3421052631578947,0.4807829082199318,0.04,0.0275164686690493,0.131578947368421,0.0526315789473684,0.4
32,0.7603971182966424,0.477139931329438,200000001.0,1.0063291139240509,,,,,,,0.0,,0.0,,,,,,,,,,1.0,0.0,,,,,,,1.0,,0.0880503144654088,,
33,0.9809470132751208,0.0512455516014235,1.0,1.0,0.960722158582472,0.114807517113069,0.0754761888985253,,0.0,,0.2702702702702703,,0.0,,0.9864864864864864,0.1162476387438192,0.0,,0.0,,0.0,,0.8157414170927685,0.1621621621621621,0.4864977717233226,0.0096803009064227,0.054054054054054,0.2276678602095179,0.0,0.0,0.0135135135135135,0.0,1.108108108108108,0.027027027027027,0.024390243902439
34,0.4473360444854856,0.7963937393169555,200000001.0,1.0007468259895445,,,,,,,0.0,,0.0,,,,,,,,,,1.0,0.0,,,,,,,1.0,,1.0156716417910447,,
35,0.960362270315478,0.1032665964172813,1.0,1.0,0.9367900509204856,0.0778179375445494,0.1618380472690044,,0.0,,0.8,,0.8,,0.9833333333333332,0.1290994448735805,0.1044681660735395,,0.1166666666666667,,0.1999999999999999,,0.9683333333333334,0.5666666666666667,0.4914213562373095,0.0259531159932741,0.3833333333333333,0.4903014177279001,0.0833333333333333,0.2787178067853021,0.0166666666666666,0.0,0.2,0.15,0.75
36,0.3095434291503252,0.8827586206896552,0.962962963148148,0.9997699562916954,0.9937075883670574,0.0075688234229034,0.1691087219838381,,0.0,,0.6234567901234568,,0.0,,0.9938271604938272,0.0785674201318386,0.0361193405352193,,0.037037037037037,,0.0432098765432098,,0.9016918152720622,0.1728395061728395,0.4088191845983992,0.0888509578788266,0.1111111111111111,0.3152441624956402,0.0308641975308641,0.1734859797500908,0.0833333333333333,0.2672917912914934,0.3888888888888889,0.0061728395061728,0.0158730158730158
37,0.3732315518923251,0.8458251912694996,0.9161371281418283,0.8518550524253946,0.8909126345123596,0.0862302069531859,0.1380152574771412,,0.1003695446638855,,0.2651515151515151,,0.0795454545454545,,0.957799363033998,0.0448844755936863,0.0059175798624451,,0.0227272727272727,,0.0075757575757575,,0.6693784435261708,0.0568181818181818,0.143623090067249,0.1439135549412317,0.0416666666666666,0.2002058509709223,0.0075757575757575,0.0868731973273262,0.0208333333333333,0.0583581340096779,0.0189393939393939,0.0113636363636363,0.6
38,0.8999049782658519,0.2386940685401324,1.0,1.0,0.997391498446418,0.0034390983025448,0.2480059625436362,,0.0,,0.9697802197802198,,0.9065934065934066,,0.9972527472527472,0.0524142418360959,0.1338841225664264,,0.1126373626373626,,0.1813186813186813,,0.9947922956164714,0.5521978021978022,0.4983318300592682,0.0206967118071843,0.4340659340659341,0.4963158552248859,0.0,0.0,0.0909090909090909,0.2923997380108531,0.4972527472527472,0.2335164835164835,0.4696132596685083
39,0.9910760598382222,0.0243902439024389,0.6441358031588993,0.9865005192107996,0.962964476092907,0.0490382390577563,0.236894241784753,,0.8349669478003191,,0.925925925925926,,0.8240740740740741,,0.9780350373407908,0.0941213357311844,0.1157988236406467,,0.1759259259259259,,0.1018518518518518,,0.9717078189300412,0.5370370370370371,0.4172906273963721,0.2106209662193898,0.3425925925925926,0.4767890467332533,0.2685185185185185,0.4452549722440672,0.0131578947368421,0.0069722747517796,0.1666666666666666,0.0092592592592592,0.0555555555555555
40,0.9852281360342516,0.0399999999999998,200000001.0,1.009009009009009,,,,,,,0.0,,0.0,,,,,,,,,,1.0,0.0,,,,,,,1.0,,0.5178571428571429,,
41,0.3659236509002231,0.8503104161876294,1.0,1.0,0.9893373024227612,0.0338623216737818,0.675012848716791,,0.0,,0.62,,0.0,,0.99,0.1,0.0,,0.0,,0.0,,0.8445,0.34,0.4997662960613055,0.0128104825367959,0.07,0.2564323999762428,0.0,0.0,0.0099999999999999,1.7434626923745965e-18,1.03,0.14,0.1359223300970873
42,0.8589810370425963,0.3179650238473768,200000001.0,1.010989010989011,,,,,,,0.0,,0.0,,,,,,,,,,1.0,0.0,,,,,,,1.0,,0.0652173913043478,,
43,1.0,0.0,1.0,1.0,0.9516316018242302,0.1004857110449978,0.1210045032329507,,0.0,,0.0,,0.0,,0.9848484848484848,0.1230914909793327,0.0,,0.0,,0.0,,0.8751147842056933,0.2727272727272727,0.4891667539948662,0.0213905075389221,0.1363636363636363,0.3458040190345097,0.0,0.0,0.0277777777777777,0.0757575757575757,1.1666666666666667,0.0151515151515151,0.0129870129870129
44,0.9998900524545516,0.0003047851264857,0.8969595368225444,0.9166666666666666,0.9466647972710674,0.075969121304002,0.4705026240609538,,0.6,,0.7777777777777778,,0.7777777777777778,,0.9515242527451546,0.1006018300140976,0.1499170234133157,,0.345679012345679,,0.2345679012345679,,0.9661636945587564,0.5061728395061729,,,0.4074074074074074,0.4944132324730442,0.3703703703703703,0.485912657903775,0.0454545454545454,0.0305715374889876,0.0617283950617283,0.0246913580246913,0.4
45,0.954434002924965,0.1176470588235294,1.0,1.0,0.9248677248677248,0.1545854198972212,0.0581615960810058,,0.0,,0.75,,0.0,,0.975,0.1581138830084189,0.0,,0.0,,0.025,,0.975,0.3,0.5,0.0,0.175,0.3848076442547926,0.05,0.2207214278631522,0.025,0.0,0.35,0.3,0.8571428571428571
46,0.9858472054350104,0.038361215431888,1.0,1.0,0.9965589636379134,0.0050249972731839,0.5447521109611998,,0.0,,0.9973614775725592,,0.0,,0.9973614775725592,0.0513665496937514,0.0,,0.0,,0.0026385224274406,,0.9957950724375352,0.6279683377308707,0.4950529603610246,0.0503616146898429,0.4485488126649076,0.4980031603748067,0.0422163588390501,0.2013482220039878,0.02,0.1227641852297488,1.0738786279683377,0.7361477572559367,0.6855036855036855
47,0.9709505944546688,0.0769230769230768,200000001.0,1.0169491525423728,,,,,,,0.0,,0.0,,,,,,,,,,1.0,0.0,,,,,,,1.0,,0.3166666666666666,,
48,0.9327076126690368,0.1682085786375105,0.8766888331048108,0.8923201480453389,0.7552548670125675,0.185312434275798,0.1195582649056303,,0.170265780730897,,0.5681818181818182,,0.2196969696969697,,0.9529413428827532,0.0734994276512183,0.0472965949831073,,0.0227272727272727,,0.0227272727272727,,0.8805670339761249,0.0757575757575757,0.1462893892536545,0.1446359439930313,0.0454545454545454,0.2090924176996537,0.0681818181818181,0.2530178709610778,0.0212765957446808,0.0241453868313392,0.0378787878787878,0.0075757575757575,0.2
49,0.794432350758128,0.4266342590347741,0.9867053902131692,0.9251264053602842,0.9252648177753772,0.1852304620358174,0.1541213564051915,,0.4415584415584415,,0.5419545903257651,,0.5412142152023692,,0.9930252954478872,0.0140781432324698,0.0249626343132655,,0.0088845014807502,,0.0088845014807502,,0.9437789974166048,0.0732971372161895,,,0.014807502467917,0.1207966948391365,0.0128331688055281,0.1125682274497585,0.0068493150684931,0.0243907054747002,0.0017275419545903,0.0002467917077986,0.1428571428571428
50,0.5547781633412736,0.7100671140939597,200000001.0,1.0333333333333334,,,,,,,0.0,,0.0,,,,,,,,,,1.0,0.0,,,,,,,1.0,,0.5161290322580645,,
51,0.9886994082884974,0.0307692307692308,1.0,1.0,0.8921810699588478,0.1900246629135497,0.1120708871107096,,1.0,,1.0,,1.0,,0.9791666666666666,0.1443375672974064,0.0807790211742566,,0.0625,,0.0416666666666666,,0.9618055555555556,0.375,0.4910639127471974,0.0264830692381717,0.2708333333333333,0.4490928602896294,0.1041666666666666,0.3087092781885836,0.024390243902439,0.0227753402754217,0.25,0.1666666666666666,0.6666666666666666
52,0.9910760598382222,0.0243902439024389,0.9134613680700464,0.9718516078259118,0.9626983166880078,0.047092096294521,0.3011696752181606,,0.0,,0.8888888888888888,,0.7478632478632479,,0.9854144585525147,0.0439105233630024,0.1985745475973073,,0.2478632478632478,,0.2521367521367521,,0.9618489297976478,0.2393162393162393,0.2154097604023321,0.2354829011258064,0.1495726495726495,0.3570336824240199,0.2414529914529914,0.4284222635450874,0.0263157894736842,0.1216363158678503,0.0235042735042735,0.0021367521367521,0.0909090909090909
53,0.954434002924965,0.1176470588235294,0.8546085859759461,0.928191489361702,0.96551958054621,0.0333279755758404,0.6380085545606937,,0.3535353535353535,,0.8958333333333334,,0.7916666666666666,,0.9264993584781024,0.1255360822421896,0.2499323374013314,,0.3333333333333333,,0.3333333333333333,,0.9453125,0.6458333333333334,0.4676323873494468,0.1718803098905914,0.4583333333333333,0.5035336128708591,0.2708333333333333,0.4490928602896294,0.0256410256410256,0.0154589410180616,0.1041666666666666,0.0416666666666666,0.4
54,0.8665718875829345,0.3039259495691031,0.9477720446998056,0.8780580171173218,0.8807113545996064,0.0833385116481358,0.332576554601245,,0.491677860602945,,0.8282208588957055,,0.803680981595092,,0.963011999157564,0.0692551959262028,0.1506257378111287,,0.1963190184049079,,0.2576687116564417,,0.9254017840340246,0.4049079754601227,0.2956426180177546,0.2743450699459768,0.2576687116564417,0.4386983701142762,0.2822085889570552,0.4514613098004768,0.0384615384615384,0.1402165479484854,0.0429447852760736,0.0061349693251533,0.1428571428571428
55,0.7922141121667599,0.4300577044380241,0.5336964362080614,0.995903196251797,,,0.0317307332478099,,,,0.925389755011136,,0.3017817371937639,,0.995429794072053,0.0330744181265052,0.0169293689053753,,0.0055679287305122,,0.0790645879732739,,0.9643478950997268,0.0456570155902004,0.1349431374195978,0.1291489559153684,0.0077951002227171,0.0879940855063774,0.0723830734966592,0.2592655354314586,0.0128205128205128,0.1017347771484285,0.0935412026726058,0.0011135857461024,0.0119047619047619
56,0.7922141121667599,0.4300577044380241,0.5336964362080614,0.995903196251797,,,0.0317307332478099,,,,0.925389755011136,,0.3017817371937639,,0.995429794072053,0.0330744181265052,0.0168881054610641,,0.0055679287305122,,0.0902004454342983,,0.9643478950997268,0.0456570155902004,0.1349431374195978,0.1291489559153684,0.0077951002227171,0.0879940855063774,0.0790645879732739,0.2699899132140754,0.0128205128205128,0.1017347771484285,0.0935412026726058,0.0011135857461024,0.0119047619047619
57,0.994895565826714,0.0140365884480042,200000001.0,1.0022172949002215,,,,,,,0.0,,0.0,,,,,,,,,,1.0,0.0,,,,,,,1.0,,0.7588495575221239,,
58,0.5923330028993273,0.6750352992058208,0.7693755857196777,0.9906899801873544,0.9928568538670924,0.0181076058215783,0.2346180488259274,,0.0,,0.9230769230769232,,0.6189624329159212,,0.9937235478036256,0.0418646658277089,0.1108900317042557,,0.1252236135957066,,0.1180679785330948,,0.9715950729804372,0.2683363148479427,0.2538741530982282,0.221070936670257,0.1735241502683363,0.3790389597625418,0.1413237924865832,0.3486672536271502,0.0069930069930069,0.0337202696463863,0.0822898032200357,0.0017889087656529,0.0217391304347826
59,0.2140192399936788,0.929716640236196,0.7222151234642205,0.9887664223748244,0.9740658031237268,0.1191391904994636,0.014004904576802,,0.0,,0.7441860465116279,,0.0393559928443649,,0.9937235478449812,0.0418646658339201,0.0106121563694419,,0.0107334525939176,,0.0089445438282647,,0.8136878722226312,0.0322003577817531,0.0840125161237851,0.1079839398126259,0.0143112701252236,0.1188769871031429,0.0143112701252236,0.1188769871031429,0.0026385224274406,0.0070822063973455,0.0822898032200357,0.0017889087656529,0.0217391304347826
60,0.2555855667489857,0.9104605632476874,0.7261592413609164,0.9889459544373272,0.9788986349693296,0.0928168399225384,0.0288300501073443,,0.0,,0.9338103756708408,,0.0840787119856887,,0.9937235477096784,0.0418646658135989,0.0192860929286137,,0.0196779964221824,,0.0089445438282647,,0.8872571452344302,0.0679785330948121,0.1059967547883979,0.1456453747431751,0.035778175313059,0.1859029909167412,0.035778175313059,0.1859029909167412,0.0020576131687242,0.0017232189360671,0.0822898032200357,0.0017889087656529,0.0217391304347826
61,0.1593500626856344,0.9524079320113314,0.7162961070815669,0.9885035361404454,0.9624646495210004,0.1753123244205924,0.0115711869507675,,0.0,,0.0,,0.0,,0.9937235477096784,0.0418646658135989,0.0,,0.0,,0.0,,0.518690736396773,0.0035778175313059,0.0527447235697201,0.0055582171271791,0.0,0.0,0.0,0.0,0.0017889087656529,0.0,0.0822898032200357,0.0017889087656529,0.0217391304347826
62,0.8147658848086416,0.3943414020748192,0.7876106204646017,0.9987807276302852,0.979779553483807,0.0578839763740411,0.0250087345463257,,0.0,,0.4070796460176991,,0.0,,0.995575221238938,0.0665190105237739,0.0,,0.0,,0.0132743362831858,,0.946413188190148,0.1283185840707964,0.3212587904577484,0.184287452990409,0.0619469026548672,0.241594180971423,0.0575221238938053,0.2333544027571276,0.1428571428571428,0.3643101968512734,0.7123893805309734,0.1991150442477876,0.2795031055900621
63,0.9554189905653108,0.1152756591850076,200000001.0,1.0108695652173914,,,,,,,0.0,,0.0,,,,,,,,,,1.0,0.0,,,,,,,1.0,,0.6774193548387096,,
64,0.9737326459226808,0.0698571625407614,200000001.0,1.0049019607843137,,,,,,,0.0,,0.0,,,,,,,,,,1.0,0.0,,,,,,,1.0,,0.3317073170731707,,
65,0.9981776939539824,0.0050376564822045,200000001.0,1.0025188916876575,,,,,,,0.0,,0.0,,,,,,,,,,1.0,0.0,,,,,,,1.0,,0.0628140703517587,,
66,0.9244571409964928,0.1865719819238218,0.632719543543371,0.9580447416606958,0.684799310378077,0.253450591081771,0.0582318490906557,,2.473502455335197e-07,,0.270440251572327,,0.0,,0.9634855929715396,0.0706213380194657,0.0028527238863962,,0.0125786163522012,,0.0125786163522012,,0.8166211779597325,0.0817610062893081,0.1934746883609864,0.1820496926827965,0.0440251572327044,0.2057992123862582,0.0125786163522012,0.1117989483684942,0.0277777777777777,0.0866970190324369,0.0943396226415094,0.0125786163522012,0.1333333333333333
67,0.9116539980612604,0.2142098330004674,200000001.0,1.0049019607843137,,,,,,,0.0,,0.0,,,,,,,,,,1.0,0.0,,,,,,,1.0,,0.3707317073170731,,
68,0.9244571409964928,0.1865719819238218,0.6140044496284389,0.959636971578696,0.7492108289570002,0.2469773378150263,0.0567119357305714,,0.0,,0.270440251572327,,0.0,,0.963740786921218,0.0707535321495311,0.0027621565090518,,0.0062893081761006,,0.0,,0.8892844428622285,0.1572327044025157,0.1880767805265654,0.1876179103050627,0.0691823899371069,0.2545658218665783,0.0188679245283018,0.1364884245663414,0.0344827586206896,0.120457911124843,0.1257861635220125,0.0125786163522012,0.1
69,0.5813214987637029,0.6855983772819473,0.931578497077917,0.989447548106766,0.985406278021009,0.0222549368007276,0.134229162831895,,0.0,,0.8277777777777777,,0.6111111111111112,,0.9759483701959242,0.0707451733031178,0.0652582999263786,,0.0388888888888888,,0.0666666666666666,,0.9000925925925926,0.3055555555555556,0.403300592731336,0.1422178506393276,0.2111111111111111,0.4092354076448748,0.0333333333333333,0.1800062072176165,0.0909090909090909,0.2830856512980114,0.4277777777777777,0.0111111111111111,0.0259740259740259
70,0.9955616408715736,0.0122180211996151,0.7618463492629263,0.9911897435897437,0.8431189210352785,0.0031141079986891,0.1288820841558979,,1.0,,1.0,,1.0,,0.9830675317729533,0.0362683905568716,0.0573093537425614,,0.048,,0.0655999999999999,,0.95963392,0.2144,0.4051065911857049,0.0862577760694284,0.1264,0.3325657829663178,0.0848,0.2788069822176864,0.0082644628099173,0.0340705759160406,0.0064,0.0064,1.0
71,0.7964999003057881,0.4234261335559331,0.9927502807064308,0.8022133933033483,0.8458804479612339,0.2051054050761268,0.1828423600819208,,0.2553258426966293,,0.632183908045977,,0.5327336331834083,,0.9817730138903475,0.0129464615183923,0.0547494851839013,,0.0674662668665667,,0.1069465267366316,,0.9539895219806388,0.0324837581209395,0.0681160972288702,0.0986746293932798,0.0064967516241879,0.0803602583024891,0.1334332833583208,0.3401274124084446,0.0526315789473684,0.1745696052411623,0.000999500249875,0.0004997501249375,0.5
