@relation data_180

@attribute site numeric
@attribute block numeric
@attribute rep {1,2}
@attribute ozone numeric
@attribute rain numeric
@attribute fam numeric
@attribute ppmhrs numeric
@attribute vwpH numeric
@attribute biomass numeric
@attribute diam numeric
@attribute DMA numeric
@attribute DMB numeric
@attribute D2HA numeric
@attribute D2HB numeric
@attribute binaryClass {P,N}

@data
1,2,?,1.7,5.3,2,376,1.199,617.49,32.67,-0.14,-0.39,-2.59,-1.59,N
1,2,?,2.5,3.3,1,533,-0.852,1341,55.61,0.13,0.05,1.07,-0.2,N
1,2,?,2.5,3.3,2,533,-0.852,936.41,44.74,0.13,-0.05,1.07,0.2,N
1,2,?,2.5,4.3,1,541,0.122,1651.27,54.63,0.2,0.8,0.2,4.93,N
1,2,?,2.5,4.3,2,541,0.122,946.71,35.22,0.2,-0.8,0.2,-4.93,N
1,2,?,2.5,5.3,1,536,1.221,554.39,34.37,-0.35,0.18,-1.83,0.41,N
1,2,?,2.5,5.3,2,536,1.221,878.97,39.73,-0.35,-0.18,-1.83,-0.41,N
2,1,?,1.7,3.3,1,285.14,-1.117,295.8,24.84,-0.07,-0.68,-0.13,-5.2,N
2,1,?,1.7,3.3,2,285.14,-1.117,355.44,27.97,-0.07,0.51,-0.13,4.46,N
2,1,?,1.7,3.3,3,285.14,-1.117,297.53,25.71,-0.07,-0.4,-0.13,-3.56,N
2,1,?,1.7,3.3,4,285.14,-1.117,370.68,25.99,-0.07,0.57,-0.13,4.3,N
2,1,?,1.7,4.3,1,280.21,-0.116,321.71,23.1,0.05,-0.51,1.02,-3.35,N
2,1,?,1.7,4.3,2,280.21,-0.116,355.07,24.25,0.05,0.09,1.02,1.67,N
2,1,?,1.7,4.3,3,280.21,-0.116,310.82,25.33,0.05,-0.06,1.02,-1.51,N
2,1,?,1.7,4.3,4,280.21,-0.116,413.09,25.08,0.05,0.55,1.02,3.64,N
2,1,?,1.7,5.3,1,263.5,0.852,315.22,20.98,-0.21,-0.18,-2.25,-2.15,N
2,1,?,1.7,5.3,2,263.5,0.852,407.78,22.82,-0.21,0.01,-2.25,0.58,N
2,1,?,1.7,5.3,3,263.5,0.852,268.52,24.95,-0.21,-0.09,-2.25,-0.32,N
2,1,?,1.7,5.3,4,263.5,0.852,175.39,20.65,-0.21,0.26,-2.25,1.96,N
2,1,?,2.5,3.3,1,363.32,-1.091,268.55,19.8,-0.81,0.29,-6.02,2.11,N
2,1,?,2.5,3.3,2,363.32,-1.091,161.12,20.86,-0.81,0.36,-6.02,1.7,N
2,1,?,2.5,3.3,3,363.32,-1.091,242.5,21.34,-0.81,-0.51,-6.02,-3,N
2,1,?,2.5,3.3,4,363.32,-1.091,155.45,19.08,-0.81,-0.06,-6.02,-0.43,N
2,1,?,2.5,4.3,1,352.19,-0.123,255.52,22.76,-0.08,0.64,-0.79,3.18,N
2,1,?,2.5,4.3,2,352.19,-0.123,191,18.16,-0.08,-0.03,-0.79,-0.91,N
2,1,?,2.5,4.3,3,352.19,-0.123,175.67,19.2,-0.08,0.06,-0.79,0.53,N
2,1,?,2.5,4.3,4,352.19,-0.123,201.54,19.8,-0.08,-0.77,-0.79,-3.34,N
2,1,?,2.5,5.3,1,368.29,0.879,349.85,22.39,-0.44,-0.04,-3.7,-1.25,N
2,1,?,2.5,5.3,2,368.29,0.879,207.15,20.72,-0.44,0.31,-3.7,0.91,N
2,1,?,2.5,5.3,3,368.29,0.879,270.43,23.41,-0.44,-0.01,-3.7,1.51,N
2,1,?,2.5,5.3,4,368.29,0.879,175.42,19.66,-0.44,-0.25,-3.7,-1.18,N
2,1,?,1,3.3,1,163.08,-1.108,331.17,27.4,0.24,-0.21,0.22,-3.01,N
2,1,?,1,3.3,2,163.08,-1.108,392.87,26.8,0.24,0.37,0.22,4.01,N
2,1,?,1,3.3,3,163.08,-1.108,350.38,23.55,0.24,-0.62,0.22,-3.98,N
2,1,?,1,3.3,4,163.08,-1.108,354.17,26.46,0.24,0.47,0.22,2.98,N
2,1,?,1,4.3,1,171.23,-0.099,184.18,19.66,-0.43,-0.54,-2.88,-3.65,N
2,1,?,1,4.3,2,171.23,-0.099,229.93,20.13,-0.43,-0.06,-2.88,0.37,N
2,1,?,1,4.3,3,171.23,-0.099,262.66,20.21,-0.43,-0.23,-2.88,-1.71,N
2,1,?,1,4.3,4,171.23,-0.099,237.01,21.5,-0.43,0.83,-2.88,4.98,N
2,1,?,1,5.3,1,166.48,0.891,287.2,22.52,-0.5,-0.08,-3.97,-0.97,N
2,1,?,1,5.3,2,166.48,0.891,222.16,21.58,-0.5,-0.23,-3.97,-0.27,N
2,1,?,1,5.3,3,166.48,0.891,391.41,24.88,-0.5,-0.02,-3.97,0.27,N
2,1,?,1,5.3,4,166.48,0.891,178.7,17.64,-0.5,0.33,-3.97,0.97,N
2,1,?,0,3.3,1,32.03,-1.101,444.9,25.35,1.04,-0.42,7.88,-4.79,N
2,1,?,0,3.3,2,32.03,-1.101,373.88,25.64,1.04,0.63,7.88,2.64,N
2,1,?,0,3.3,3,32.03,-1.101,366.48,26.55,1.04,0.11,7.88,3.12,N
2,1,?,0,3.3,4,32.03,-1.101,480.01,23.47,1.04,-0.33,7.88,-0.96,N
2,1,?,0,4.3,1,29.93,-0.118,357.79,24.59,0.06,0.69,0.06,3.32,N
2,1,?,0,4.3,2,29.93,-0.118,281.3,23.76,0.06,0.02,0.06,-1.08,N
2,1,?,0,4.3,3,29.93,-0.118,348.51,25.29,0.06,0.1,0.06,3.52,N
2,1,?,0,4.3,4,29.93,-0.118,226.78,23.13,0.06,-0.81,0.06,-5.76,N
2,1,?,0,5.3,1,33.93,0.846,158.58,16.89,-1.08,-0.21,-7.01,-2.68,N
2,1,?,0,5.3,2,33.93,0.846,136.18,16.54,-1.08,-0.17,-7.01,-0.36,N
2,1,?,0,5.3,3,33.93,0.846,233.26,20.45,-1.08,-0.07,-7.01,-0.23,N
2,1,?,0,5.3,4,33.93,0.846,178.95,16.73,-1.08,0.45,-7.01,3.75,N
2,2,?,1.7,3.3,1,292.18,-1.114,433.51,22.7,0.78,-0.5,7.02,-5.62,N
2,2,?,1.7,3.3,2,292.18,-1.114,306.76,24.04,0.78,0.19,7.02,-0.57,N
2,2,?,1.7,3.3,3,292.18,-1.114,291.22,23.26,0.78,-0.17,7.02,-2.1,N
2,2,?,1.7,3.3,4,292.18,-1.114,465.59,23.3,0.78,0.57,7.02,9.39,N
2,2,?,1.7,4.3,1,280.14,-0.13,432.1,27.08,1.48,-0.35,10.91,-3.09,N
2,2,?,1.7,4.3,2,280.14,-0.13,497.9,27.87,1.48,0.19,10.91,1.85,N
2,2,?,1.7,4.3,3,280.14,-0.13,574.25,27.18,1.48,-0.25,10.91,-0.24,N
2,2,?,1.7,4.3,4,280.14,-0.13,554.97,26.96,1.48,0.41,10.91,1.49,N
2,2,?,1.7,5.3,1,289.08,0.858,274.72,20.9,0.36,-1.03,2.26,-9.22,N
2,2,?,1.7,5.3,2,289.08,0.858,256.11,20.38,0.36,0.66,2.26,5.24,N
2,2,?,1.7,5.3,3,289.08,0.858,388.97,25.69,0.36,0.67,2.26,7.08,N
2,2,?,1.7,5.3,4,289.08,0.858,207.8,17.71,0.36,-0.3,2.26,-3.1,N
2,2,?,2.5,3.3,1,380.64,-1.087,248.88,21.74,0.01,0.6,-0.32,1.56,N
2,2,?,2.5,3.3,2,380.64,-1.087,191.22,20.33,0.01,-0.26,-0.32,-1,N
2,2,?,2.5,3.3,3,380.64,-1.087,236.68,20.26,0.01,0.25,-0.32,1.85,N
2,2,?,2.5,3.3,4,380.64,-1.087,205.86,18.79,0.01,-0.68,-0.32,-2.75,N
2,2,?,2.5,4.3,1,367.73,-0.103,288.5,22.79,-0.59,-0.74,-4.02,-3.47,N
2,2,?,2.5,4.3,2,367.73,-0.103,295.45,23.98,-0.59,0.01,-4.02,0,N
2,2,?,2.5,4.3,3,367.73,-0.103,256.7,22.76,-0.59,0.14,-4.02,0.96,N
2,2,?,2.5,4.3,4,367.73,-0.103,222.4,20.9,-0.59,0.58,-4.02,2.52,N
2,2,?,2.5,5.3,1,377.03,0.855,94.1,16.31,-0.84,-0.36,-5.6,-1.27,N
2,2,?,2.5,5.3,2,377.03,0.855,270.7,20.41,-0.84,0.07,-5.6,-0.52,N
2,2,?,2.5,5.3,3,377.03,0.855,209.79,17.8,-0.84,-0.02,-5.6,0.35,N
2,2,?,2.5,5.3,4,377.03,0.855,149.11,17.89,-0.84,0.36,-5.6,1.63,N
2,2,?,1,3.3,1,67.77,-1.119,349,24.81,-0.72,0.03,-5.3,-1.16,N
2,2,?,1,3.3,2,167.77,-1.119,305.88,25.15,-0.72,-0.13,-5.3,0.52,N
2,2,?,1,3.3,3,167.77,-1.119,311.03,23.98,-0.72,-0.15,-5.3,-0.73,N
2,2,?,1,3.3,4,167.77,-1.119,313.26,22.96,-0.72,0.24,-5.3,1.37,N
2,2,?,1,4.3,1,165.71,-0.127,233.9,23.95,0.37,-0.51,1.82,-4.59,N
2,2,?,1,4.3,2,165.71,-0.127,330.14,24.75,0.37,0.44,1.82,6.37,N
2,2,?,1,4.3,3,165.71,-0.127,301.95,24.58,0.37,-0.52,1.82,-4.19,N
2,2,?,1,4.3,4,165.71,-0.127,245.69,21.65,0.37,0.59,1.82,2.42,N
2,2,?,1,5.3,1,166.85,0.847,190.93,20.74,-0.12,0.08,-2.21,-0.3,N
2,2,?,1,5.3,2,166.85,0.847,187.08,20.3,-0.12,-0.55,-2.21,-3.33,N
2,2,?,1,5.3,3,166.85,0.847,291.8,22.27,-0.12,0.57,-2.21,4.35,N
2,2,?,1,5.3,4,166.85,0.847,178.84,18.62,-0.12,-0.1,-2.21,-0.72,N
2,2,?,0,3.3,1,30.93,-1.105,280.76,28.05,-0.37,-0.02,-1.97,-0.35,N
2,2,?,0,3.3,2,30.93,-1.105,387.37,26.71,-0.37,-0.32,-1.97,-2.44,N
2,2,?,0,3.3,3,30.93,-1.105,240.38,24.36,-0.37,-0.28,-1.97,-3.07,N
2,2,?,0,3.3,4,30.93,-1.105,250.87,24.24,-0.37,0.63,-1.97,5.87,N
2,2,?,0,4.3,1,30.89,-0.111,364.62,23.26,1.05,-0.19,9.59,-4.74,N
2,2,?,0,4.3,2,30.89,-0.111,445.77,23.61,1.05,0.14,9.59,1.4,N
2,2,?,0,4.3,3,30.89,-0.111,286.46,20.85,1.05,-0.14,9.59,-0.33,N
2,2,?,0,4.3,4,30.89,-0.111,397.92,24.28,1.05,0.19,9.59,3.67,N
2,2,?,0,5.3,1,27.59,0.883,428.78,23.4,0.78,0.64,4.9,1.88,N
2,2,?,0,5.3,2,27.59,0.883,283.02,22.46,0.78,-0.4,4.9,-1.23,N
2,2,?,0,5.3,3,27.59,0.883,388.08,27.32,0.78,-0.15,4.9,-1.23,N
2,2,?,0,5.3,4,27.59,0.883,334.95,23.1,0.78,-0.11,4.9,0.66,N
3,1,?,1.5,3.3,1,392,-0.385,697.57,38.3,-0.12,-0.6,-0.79,-3.53,N
3,1,?,1.5,3.3,2,392,-0.385,644.62,37.5,-0.12,-0.6,-0.79,-2.99,N
3,1,?,1.5,3.3,3,392,-0.385,948.02,42.6,-0.12,1.2,-0.79,6.51,N
3,1,?,1.5,5.3,1,395,1.475,575.55,31.6,1.08,-0.3,5.13,1.14,N
3,1,?,1.5,5.3,2,395,1.475,833.09,34,1.08,0.3,5.13,-0.22,N
3,1,?,1.5,5.3,3,395,1.475,1094.49,43.4,1.08,0,5.13,-0.92,N
3,1,?,2.2,3.3,1,563,-0.385,270.6,22.8,0.44,0.03,2.89,-1.5,N
3,1,?,2.2,3.3,2,563,-0.385,1203.95,47.4,0.44,-1.07,2.89,-4.67,N
3,1,?,2.2,3.3,3,563,-0.385,1050.52,42.3,0.44,1.03,2.89,6.17,N
3,1,?,2.2,5.3,1,577,1.475,239.11,21.7,-0.22,-1.3,-2.36,-6.31,N
3,1,?,2.2,5.3,2,577,1.475,255.95,21,-0.22,-0.2,-2.36,-0.85,N
3,1,?,2.2,5.3,3,577,1.475,883.97,41.1,-0.22,1.5,-2.36,7.15,N
3,1,?,3,3.3,1,752,-0.385,317.6,21.2,0.88,0.6,3.65,2.71,N
3,1,?,3,3.3,2,752,-0.385,168.56,16.2,0.88,-0.5,3.65,-3.93,N
3,1,?,3,3.3,3,752,-0.385,660.42,36.8,0.88,-0.1,3.65,1.22,N
3,1,?,3,5.3,1,754,1.475,521.89,34.8,-0.72,0.1,-3.51,-0.88,N
3,1,?,3,5.3,2,754,1.475,253.26,25.3,-0.72,1.2,-3.51,5.41,N
3,1,?,3,5.3,3,754,1.475,199.74,24.1,-0.72,-1.3,-3.51,-4.54,N
3,1,?,0,3.3,1,113,-0.385,963.61,43.2,-1.29,1.57,-4.52,6.09,N
3,1,?,0,3.3,2,113,-0.385,460.47,31.6,-1.29,-0.83,-4.52,-3.22,N
3,1,?,0,3.3,3,113,-0.385,474.23,30.8,-1.29,-0.73,-4.52,-2.87,N
3,1,?,0,5.3,1,124,1.475,832.64,39.3,-1.69,1.97,-5.94,6.29,N
3,1,?,0,5.3,2,124,1.475,540.23,31,-1.69,-0.83,-5.94,-3.13,N
3,1,?,0,5.3,3,124,1.475,244.55,23,-1.69,-1.13,-5.94,-3.16,N
3,1,?,1,3.3,1,263,-0.385,655.77,34.3,0.44,1.73,1.36,4.91,N
3,1,?,1,3.3,2,263,-0.385,359.68,28,0.44,-2.27,1.36,-9.09,N
3,1,?,1,3.3,3,263,-0.385,670.52,37.3,0.44,0.53,1.36,4.18,N
3,1,?,1,5.3,1,254,1.475,411.27,26.3,-0.02,-1,-0.1,-4.59,N
3,1,?,1,5.3,2,254,1.475,575.51,28.6,-0.02,0.2,-0.1,-0.66,N
3,1,?,1,5.3,3,254,1.475,1021.69,35.4,-0.02,0.8,-0.1,5.25,N
3,2,?,1.5,3.3,1,383,-0.385,815.4,37.2,0.24,0.53,0.11,1.94,N
3,2,?,1.5,3.3,2,383,-0.385,1110.13,45.6,0.24,-1.57,0.11,-5.66,N
3,2,?,1.5,3.3,3,383,-0.385,1231.35,43.3,0.24,1.03,0.11,3.72,N
3,2,?,1.5,5.3,1,383,1.475,1365.56,47.8,0.34,0.03,1.42,0.32,N
3,2,?,1.5,5.3,2,383,1.475,1356.49,45.2,0.34,-0.27,1.42,-0.68,N
3,2,?,1.5,5.3,3,383,1.475,663.23,31.8,0.34,0.23,1.42,0.37,N
3,2,?,2.2,3.3,1,578,-0.385,986.81,41.4,0.48,1.8,3.65,11.57,N
3,2,?,2.2,3.3,2,578,-0.385,562.73,31,0.48,-0.5,3.65,-4.88,N
3,2,?,2.2,3.3,3,578,-0.385,627.21,34.3,0.48,-1.3,3.65,-6.69,N
3,2,?,2.2,5.3,1,561,1.475,787.17,38.2,-0.26,1.63,-0.66,7.54,N
3,2,?,2.2,5.3,2,561,1.475,557.6,34.1,-0.26,-1.27,-0.66,-5.3,N
3,2,?,2.2,5.3,3,561,1.475,338.2,29.5,-0.26,-0.37,-0.66,-2.24,N
3,2,?,3,3.3,1,763,-0.385,413.67,22.7,1.41,0.77,5.94,4.3,N
3,2,?,3,3.3,2,763,-0.385,226.26,20.6,1.41,-1.73,5.94,-8.42,N
3,2,?,3,3.3,3,763,-0.385,525.34,28.7,1.41,0.97,5.94,4.12,N
3,2,?,3,5.3,1,755,1.475,212.12,20.9,1.28,0.1,7.45,-1.55,N
3,2,?,3,5.3,2,755,1.475,512.23,30.3,1.28,-0.1,7.45,-1.23,N
3,2,?,3,5.3,3,755,1.475,704.96,29.4,1.28,0,7.45,2.78,N
3,2,?,0,3.3,1,113,-0.385,1461.09,44.5,0.01,0.97,0.28,6.45,N
3,2,?,0,3.3,2,113,-0.385,1058.72,46.2,0.01,-0.93,0.28,-5.17,N
3,2,?,0,3.3,3,113,-0.385,924.18,34.6,0.01,-0.03,0.28,-1.29,N
3,2,?,0,5.3,1,118,1.475,404.34,27.3,-0.86,-0.07,-5.89,-0.18,N
3,2,?,0,5.3,2,118,1.475,1090.98,41,-0.86,1.33,-5.89,2.87,N
3,2,?,0,5.3,3,118,1.475,834.81,39.5,-0.86,-1.27,-5.89,-2.69,N
3,2,?,1,3.3,1,261,-0.385,553.71,37.7,-1.19,-0.93,-5.93,-3.08,N
3,2,?,1,3.3,2,261,-0.385,553.81,35.9,-1.19,-1.03,-5.93,-2.65,N
3,2,?,1,3.3,3,261,-0.385,786.92,37.3,-1.19,1.97,-5.93,5.73,N
3,2,?,1,5.3,1,268,1.475,363.79,28.7,-0.22,0.3,-2.17,0.13,N
3,2,?,1,5.3,2,268,1.475,475.63,34,-0.22,0.9,-2.17,4.37,N
3,2,?,1,5.3,3,268,1.475,294.77,29.2,-0.22,-1.2,-2.17,-4.5,N
4,3,?,1.3,3.3,1,273,-0.938,?,28.95,1.09,0.49,16.08,9.36,P
4,3,?,1.3,3.3,2,273,-0.938,?,30.75,1.09,-0.81,16.08,-18.46,P
4,3,?,1.3,3.3,3,273,-0.938,?,27.2,1.09,-0.66,16.08,-18.33,P
4,3,?,1.3,3.3,4,273,-0.938,781.57,29,1.09,0.99,16.08,27.42,P
4,3,?,1.3,4.3,1,271,0.072,?,32.8,-0.65,1.27,-22.36,20.43,P
4,3,?,1.3,4.3,2,271,0.072,?,29.9,-0.65,-0.63,-22.36,-10.6,P
4,3,?,1.3,4.3,3,271,0.072,?,30.7,-0.65,-0.78,-22.36,-13.53,P
4,3,?,1.3,4.3,4,271,0.072,303.37,27,-0.65,0.13,-22.36,3.7,P
4,3,?,1.3,5.3,1,276,1.079,?,26.87,-0.83,0.76,-14.38,13.88,P
4,3,?,1.3,5.3,2,276,1.079,?,19.65,-0.83,-1.49,-14.38,-12.53,P
4,3,?,1.3,5.3,3,276,1.079,?,24.6,-0.83,2.56,-14.38,23.06,P
4,3,?,1.3,5.3,4,276,1.079,50.52,17.15,-0.83,-0.94,-14.38,-26.08,P
4,3,?,1.7,3.3,1,339,-0.938,?,32.85,-0.83,-0.24,-18.52,-6.68,P
4,3,?,1.7,3.3,2,339,-0.938,?,41.6,-0.83,0.36,-18.52,8.27,P
4,3,?,1.7,3.3,3,339,-0.938,?,39.55,-0.83,-0.79,-18.52,-15.02,P
4,3,?,1.7,3.3,4,339,-0.938,562.55,30.6,-0.83,0.66,-18.52,13.43,P
4,3,?,1.7,4.3,1,329,0.072,?,40.8,0.15,0.08,2.83,-0.21,N
4,3,?,1.7,4.3,2,329,0.072,?,32.1,0.15,-1.42,2.83,-23.56,N
4,3,?,1.7,4.3,3,329,0.072,?,39.25,0.15,-0.28,2.83,-7.98,N
4,3,?,1.7,4.3,4,329,0.072,1012.46,39.7,0.15,1.62,2.83,31.74,N
4,3,?,1.7,5.3,1,339,1.079,?,35.95,-1.46,1.09,-33.45,7.26,P
4,3,?,1.7,5.3,2,339,1.079,?,23.15,-1.46,-0.66,-33.45,-7.25,P
4,3,?,1.7,5.3,3,339,1.079,?,21.5,-1.46,-1.26,-33.45,-10.99,P
4,3,?,1.7,5.3,4,339,1.079,392.36,29.25,-1.46,0.84,-33.45,10.98,P
4,3,?,2,3.3,1,405,-0.938,?,23.05,1.27,-1.44,13.93,-31.73,P
4,3,?,2,3.3,2,405,-0.938,?,34.75,1.27,-0.14,13.93,-3.44,P
4,3,?,2,3.3,3,405,-0.938,?,37.05,1.27,0.16,13.93,6.62,P
4,3,?,2,3.3,4,405,-0.938,789.39,30.45,1.27,1.41,13.93,28.56,P
4,3,?,2,4.3,1,394,0.072,?,22.9,-0.53,1.36,-19.02,17.65,P
4,3,?,2,4.3,2,394,0.072,?,18.9,-0.53,-0.94,-19.02,-14.06,P
4,3,?,2,4.3,3,394,0.072,?,19.05,-0.53,1.56,-19.02,25.39,P
4,3,?,2,4.3,4,394,0.072,68.31,17.5,-0.53,-1.99,-19.02,-28.98,P
4,3,?,2,5.3,1,409,1.079,?,26.25,-0.76,-1.71,-12.85,-31.26,N
4,3,?,2,5.3,2,409,1.079,?,19.65,-0.76,0.14,-12.85,-1.92,N
4,3,?,2,5.3,3,409,1.079,?,24.3,-0.76,-1.06,-12.85,-18.2,N
4,3,?,2,5.3,4,409,1.079,507.3,30.2,-0.76,2.64,-12.85,51.38,N
4,3,?,3,3.3,1,588,-0.938,?,20.1,-1.63,0.21,-34.92,2.7,P
4,3,?,3,3.3,2,588,-0.938,?,21.8,-1.63,-1.14,-34.92,-15.49,P
4,3,?,3,3.3,3,588,-0.938,?,19.6,-1.63,-0.74,-34.92,-8.66,P
4,3,?,3,3.3,4,588,-0.938,66.03,17.8,-1.63,1.11,-34.92,13.7,P
4,3,?,3,4.3,1,569,0.072,?,20.5,0.7,0.57,6.46,6.55,P
4,3,?,3,4.3,2,569,0.072,?,6.7,0.7,-1.17,6.46,-11.3,P
4,3,?,3,4.3,3,569,0.072,?,24.65,0.7,-1.37,6.46,-28.39,P
4,3,?,3,4.3,4,569,0.072,66.52,12.35,0.7,1.97,6.46,33.14,P
4,3,?,3,5.3,1,577,1.079,?,14.2,-1.11,0.14,-27.62,-1.69,P
4,3,?,3,5.3,2,577,1.079,?,17.5,-1.11,-0.51,-27.62,-7.81,P
4,3,?,3,5.3,3,577,1.079,?,14.6,-1.11,0.09,-27.62,5.87,P
4,3,?,3,5.3,4,577,1.079,394.82,23.45,-1.11,0.29,-27.62,3.64,P
4,3,?,0,3.3,1,34,-0.938,?,28.95,0.14,-0.61,-8.27,-9.67,P
4,3,?,0,3.3,2,34,-0.938,?,17.8,0.14,0.54,-8.27,3.19,P
4,3,?,0,3.3,3,34,-0.938,?,18.7,0.14,-0.81,-8.27,-10.67,P
4,3,?,0,3.3,4,34,-0.938,132.14,21.9,0.14,0.89,-8.27,17.16,P
4,3,?,0,4.3,1,35,0.072,?,28.65,-1.52,1.9,-28.9,21.63,P
4,3,?,0,4.3,2,35,0.072,?,34.05,-1.52,-1.15,-28.9,-12.49,P
4,3,?,0,4.3,3,35,0.072,?,37.05,-1.52,-0.35,-28.9,-1.84,P
4,3,?,0,4.3,4,35,0.072,174.69,27.2,-1.52,-0.4,-28.9,-7.3,P
4,3,?,0,5.3,1,32,1.079,?,27.4,-0.37,-1.25,-11.38,-25.5,P
4,3,?,0,5.3,2,32,1.079,?,28.8,-0.37,-0.05,-11.38,-5.13,P
4,3,?,0,5.3,3,32,1.079,?,35.25,-0.37,1.15,-11.38,20.79,P
4,3,?,0,5.3,4,32,1.079,779.49,33.95,-0.37,0.15,-11.38,9.84,P
4,3,?,1,3.3,1,197,-0.938,?,26.5,-1.57,1.35,-36.34,16.55,P
4,3,?,1,3.3,2,197,-0.938,?,21.9,-1.57,-1.2,-36.34,-13.47,P
4,3,?,1,3.3,3,197,-0.938,?,16.6,-1.57,-0.7,-36.34,-9.01,P
4,3,?,1,3.3,4,197,-0.938,117.95,22.9,-1.57,0.55,-36.34,5.93,P
4,3,?,1,4.3,1,195,0.072,?,30.4,0.19,2.14,-2.75,33.59,P
4,3,?,1,4.3,2,195,0.072,?,23.55,0.19,-1.21,-2.75,-20.64,P
4,3,?,1,4.3,3,195,0.072,?,23.25,0.19,-2.41,-2.75,-36.36,P
4,3,?,1,4.3,4,195,0.072,574.41,30.85,0.19,1.49,-2.75,23.41,P
4,3,?,1,5.3,1,189,1.079,?,29.5,1.37,1.01,13.21,17.9,P
