@relation data_143

@attribute N numeric
@attribute TREE {D10,D13,D14,D16,D18,D19,D20,D21,D22,G10,G2,G20,G21,G24,G27,G28,G29,G4,G5,G6,G7,G8,G9,J1,J10,J12,J13,J15,J17,J19,J20,J25,J27,J29,J31,J6,J8,M10,M17,M20,M25,M33,M6,O20,O27,O28,O33,O3O,Q12,Q17,Q19,Q23,Q25,Q3,Q34,Q4,Q5}
@attribute BR {A,B,C,D,E,F,G,H,I,J}
@attribute TL numeric
@attribute IN numeric
@attribute INTERNODE_1 numeric
@attribute INTERNODE_2 numeric
@attribute INTERNODE_3 numeric
@attribute INTERNODE_4 numeric
@attribute INTERNODE_5 numeric
@attribute INTERNODE_6 numeric
@attribute INTERNODE_7 numeric
@attribute INTERNODE_8 numeric
@attribute INTERNODE_9 numeric
@attribute INTERNODE_10 numeric
@attribute INTERNODE_11 numeric
@attribute INTERNODE_12 numeric
@attribute INTERNODE_13 numeric
@attribute INTERNODE_14 numeric
@attribute INTERNODE_15 numeric
@attribute INTERNODE_16 numeric
@attribute INTERNODE_17 numeric
@attribute INTERNODE_18 numeric
@attribute INTERNODE_19 numeric
@attribute INTERNODE_20 numeric
@attribute INTERNODE_21 numeric
@attribute INTERNODE_22 numeric
@attribute INTERNODE_23 numeric
@attribute INTERNODE_24 numeric
@attribute INTERNODE_25 numeric
@attribute INTERNODE_26 numeric
@attribute INTERNODE_27 numeric
@attribute INTERNODE_28 numeric
@attribute INTERNODE_29 numeric
@attribute binaryClass {P,N}

@data
15,G28,G,21,10,0.5,0.8,2.4,4,3,3.2,2.6,2.1,1.4,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
16,G28,H,46,16,0.5,1.5,6.2,5.3,5.7,4.6,2.5,1.8,2.2,4,4.3,4.5,1.7,0.6,0.6,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,N
17,G28,H,47,16,0.5,0.7,2.8,5.3,5,4.4,4.1,4.2,4.2,4.4,3.6,3.5,2.7,1.2,0.5,0.1,?,?,?,?,?,?,?,?,?,?,?,?,?,N
18,M33,A,9,5,1.2,2.2,3.1,2.2,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
19,M33,A,20.5,7,0.6,3,5.8,5.4,3.6,1.7,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
20,M33,A,47,13,0.5,2.4,2.8,3.5,3.1,3.6,3.8,5.1,8.6,6.5,5.6,1.1,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
21,M33,A,4,4,0.4,2,1.7,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
22,M33,A,5,5,0.2,1.2,1.6,1.5,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
23,M33,B,134,16,7.3,9.2,13.8,11.7,11.2,10.8,9.3,9.2,9.7,7.5,7.4,7.5,7,6.1,3.5,2.5,?,?,?,?,?,?,?,?,?,?,?,?,?,N
24,M33,C,42,8,0.5,4.8,7.4,8.9,6.5,7.1,4.7,2.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
25,M33,C,22,7,0.8,4.1,5.1,5.7,3.4,2.2,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
26,M33,C,25,7,0.6,3.7,7.8,6.2,3.6,2.4,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
27,M33,C,1,3,0.3,0.7,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
28,M33,C,1,2,0.5,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
29,M33,C,17.5,9,2.1,2.2,3.2,2.5,3,2.6,1.2,0.5,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
30,M33,C,46,12,1,3,5.5,7.5,5.8,6.3,5.1,3.3,4.2,2.6,1.6,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
31,M33,C,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
32,M33,C,1,2,0.4,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
33,M33,C,21,8,0.5,2.6,3.9,5.9,3.5,2.9,1.5,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
34,M33,C,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
35,M33,C,5,4,0.7,1.5,1.9,1.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
36,M33,D,1,2,0.2,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
37,M33,D,6,5,0.2,1.4,3,1.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
38,M33,D,37,11,0.6,3.2,7,8,4.6,3.3,2.5,2.8,2.8,1.8,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
39,M33,D,63,15,1.8,6.6,10.7,9.4,4.5,4.2,3.3,3,3,4.7,6.5,2.9,1.1,0.7,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
40,M33,E,25,8,1,4.5,4.8,4.7,3.7,3.2,2.2,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
41,M33,F,3,5,0.2,1,1.2,0.5,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
42,M33,F,28,11,0.5,2.5,2.5,1.2,1.8,3.6,3.7,4.5,4.2,3.4,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
43,M33,F,3,4,0.5,1.2,1.4,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
44,M33,F,20,9,0.4,2.7,4.3,2.6,1.5,4,3.1,1.6,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
45,M33,F,20,7,0.3,1.7,4.8,6.2,4.3,2.8,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
46,M33,F,8,7,0.5,1,2.5,1.1,1.2,1.3,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
47,M33,F,25,9,0.4,1.7,3.5,5.3,6,3.8,2.2,2.2,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
48,M33,F,12,6,0.3,2.1,3.5,3.4,2.3,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
49,M33,F,32,12,0.2,1.1,1.4,0.8,1.5,3.3,4.4,5.4,6.2,6.4,1.2,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
50,M33,F,8,5,0.6,2,3.1,1.7,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
51,M33,F,39,13,0.5,1,2.2,3.2,2.8,3.6,4,4,4.2,6.2,5.9,1.2,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
52,M33,F,7,5,0.3,2,2.7,1.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
53,M33,F,57.5,12,0.5,2.1,5,7.5,8.8,8.2,8.6,6.8,4.7,3.3,1.6,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
54,M33,F,28,9,0.3,1.8,3.2,4.6,4.3,5.3,4.2,3.3,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
55,M33,F,17,8,0.4,1.2,0.7,1.7,3.2,4.5,4.1,1.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
56,M33,F,10.5,6,0.5,2.1,3,2.4,1.8,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
57,M33,F,2,4,0.3,0.8,0.3,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
58,M33,F,18,8,0.5,1.8,2.6,3.1,4.2,3.5,2.2,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
59,M33,F,4,5,0.2,1,1.2,1.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
60,M33,F,53,11,0.3,1.3,4.1,7.2,8.4,7.7,6.4,6.7,6.1,3.6,1.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
61,M33,F,6,6,0.5,0.8,1,1.4,1.6,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
62,O20,A,1,2,0.2,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
63,O20,A,0.5,2,0.2,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
64,O20,A,1.5,3,0.7,0.6,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
65,O20,A,11,5,1.2,2,3.1,3.4,1.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
66,O20,A,1,2,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
67,O20,A,1,3,0.5,0.6,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
68,O20,A,1,3,0.3,0.5,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
69,O20,A,2,3,0.7,0.8,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
70,O20,A,2,3,1,1,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
71,O20,A,2,3,0.7,0.7,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
72,O20,A,24.5,7,1.5,3.2,6.1,5.6,4.4,3.1,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
73,O20,A,0.5,2,0.2,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
74,O20,A,1,3,0.2,0.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
75,O20,B,1,2,0.5,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
76,O20,B,1,2,0.3,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
77,O20,B,1,2,0.4,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
78,O20,B,28.5,6,1.2,5.2,9.7,6.8,4.3,1.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
79,O20,B,1,2,0.6,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
80,O20,B,34,9,0.6,3,6.6,7.6,6,5.2,3.5,1.6,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
81,O20,C,1,2,0.7,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
82,O20,C,1,2,0.3,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
83,O20,C,2.5,3,0.5,1.1,0.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
84,O20,C,1,2,0.3,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
85,O20,C,1,3,0.3,0.5,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
86,O20,C,10,6,1.1,1.6,2.3,2.5,1.8,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
87,O20,C,1,2,0.3,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
88,O20,C,1,2,0.3,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
89,O20,C,2,4,0.2,0.7,0.8,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
90,O20,C,8,6,0.9,1.2,1.7,2.7,1.7,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
91,O20,C,3,3,1,1,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
92,O20,C,5,4,1.3,1.3,1.7,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
93,O20,C,2,3,0.7,0.8,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
94,O20,C,2,3,0.5,1,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
95,O20,D,4,3,1.3,1.9,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
96,O20,D,47.5,10,1.4,3.7,10,9.1,8.3,7,4.6,2.3,0.9,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
97,O20,E,70,16,1,2.2,4.2,7.7,8.3,7.8,5.7,5.8,5.5,4.9,4.8,5.6,3.8,1.8,0.8,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,N
98,O20,F,4,3,1,1.7,1.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
99,O20,F,24,7,1.5,4.5,6.8,5.5,3.6,1.6,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
100,O20,F,18,6,0.5,1.7,5.7,6.3,3.3,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
101,O20,F,23,7,0.5,1.5,5.2,7.2,4.7,3.3,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
102,O20,F,16,6,1.3,2.4,5.4,4.2,2.5,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
103,O20,F,39,10,0.8,6.2,9.2,6,4.8,4.3,3.6,2.4,1.3,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
104,O20,F,5.5,4,1,2.3,2,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
105,O20,F,7,4,0.6,1.8,4,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
106,O20,F,19,6,1.2,2.5,5.8,5,3.2,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
107,O20,F,2.5,3,0.6,0.9,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
108,O20,F,2,2,1,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
109,O20,F,2,2,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
110,O20,F,0.5,2,0.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
111,O20,G,7,6,0.7,1.5,2.1,1.5,0.8,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
112,O20,G,3,3,1,1.3,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
113,O20,G,97,21,1,2.5,5.8,8.6,8.6,9.3,8.7,6.6,5.7,5.5,4.8,4.6,5.1,4.3,3.8,3.7,2.6,2.2,2.1,1.2,0.5,?,?,?,?,?,?,?,?,N
114,O20,G,2,3,0.7,0.9,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
115,O20,G,4,4,1,1.8,0.6,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
116,O20,G,39.5,12,1,2.1,2.7,4,4.2,5.3,4.8,4.1,4.5,3.7,2.3,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
117,O20,G,24,7,1.7,3.5,4.6,5.4,4.8,3.3,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
118,O20,G,7,5,0.6,2.1,2.6,1.1,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
119,G29,A,1,2,0.5,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
120,G29,A,0.5,1,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
121,G29,A,1,2,0.6,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
122,G29,A,27,8,1,3.5,8,6.6,3.6,2,1.8,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
123,G29,A,1,2,0.3,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
124,G29,A,0.5,1,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
125,G29,A,0.5,1,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
126,G29,B,124,19,2,6.9,10.2,9,11.4,11.2,10.2,8.4,7,7,2.6,7.7,7.2,6,5.4,5.2,3.6,2.1,1.2,?,?,?,?,?,?,?,?,?,?,N
127,G29,C,130,21,0.7,1.8,3,3.5,5.7,9.5,11.3,10.7,9,9,8.7,9.2,9.5,8,8.5,6.8,4.8,4,3.2,2.2,0.6,?,?,?,?,?,?,?,?,N
128,G29,C,0.5,2,0.2,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
129,G29,C,1,2,0.3,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
130,G29,C,1,1,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
131,G29,C,2,3,0.2,1,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
132,G29,C,14,6,0.5,1.2,3.7,3.8,3.6,1.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
133,G29,C,27,8,0.5,1.6,6.2,7.2,7.1,3.2,0.8,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
134,G29,C,1,3,0.2,0.6,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
135,G29,C,1,2,0.2,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
136,G29,C,1,2,0.3,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
137,G29,C,1,2,0.2,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
138,G29,C,1,2,0.2,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
139,G29,C,0,2,0.2,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
140,G29,C,0,1,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
141,G29,D,2,2,1,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
142,G29,D,1,2,0.3,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
143,G29,D,2,3,0.6,1.1,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
144,G29,D,28,8,0.8,2.2,6.3,6.6,5.6,3.1,2.3,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
145,G29,D,20,6,0.5,1.6,6.4,5.7,4.5,1.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
146,G29,D,24,7,0.3,1.2,4.6,7.3,5.9,3.7,0.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
147,G29,D,1,2,0.4,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
148,G29,D,1,2,0.2,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
149,G29,D,1,2,0.2,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
150,G29,E,41,10,0.5,1.2,4.6,7.5,7.2,7.1,5.7,4.3,2.6,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
151,G29,E,2,3,0.5,1,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
152,G29,E,1,2,0.5,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
