@relation data_173

@attribute ID numeric
@attribute x numeric
@attribute y numeric
@attribute pop numeric
@attribute binaryClass {P,N}

@data
670017021,-10.33,40.01,877,P
670017022,-10.59,39.82,698,P
670017023,-10.63,39.4,774,P
670017024,-10.71,38.79,210,P
670017025,-10.34,38.99,414,P
670018001,-9.83,40.22,822,P
670018002,-9.82,39.94,706,P
670018003,-9.8,39.68,691,P
670018004,-9.79,39.21,937,P
670019001,-8.25,39.91,786,P
670019002,-8.78,39.41,915,P
670019003,-8.91,39.68,1049,P
670019004,-8.92,39.95,1060,P
670019005,-8.91,40.24,997,P
670020001,-16.4,39.04,379,P
670020002,-16.58,39.03,859,P
670020003,-16.9,38.69,553,N
670020004,-17.02,39.16,796,P
670021001,-14.89,38.56,600,P
670021002,-15.29,38.32,943,N
670021003,-15.47,38.75,454,N
670022001,-14.07,38.66,490,N
670022002,-14.25,38.34,721,N
670023001,-12.83,39.13,1125,P
670023002,-12.82,38.68,738,N
670023003,-13.08,38.76,387,P
670023004,-13.25,38.98,299,P
670024001,-11.67,38.78,766,P
670024002,-12.07,38.53,568,P
670024003,-11.95,38.8,897,P
670027001,-16.59,38.5,789,N
670027002,-16.48,38.25,728,P
670027003,-16.3,38.05,708,P
670028001,-15.99,37.84,1579,P
670028002,-16.76,37.45,712,P
670029001,-15.54,38.2,244,P
670029002,-15.35,37.85,945,P
670030001,-13.74,37.93,186,P
670030002,-14.18,37.58,1223,N
670030003,-14.27,37.73,1084,P
670030004,-14.3,37.96,128,P
670031001,-13.39,38.51,11,P
670031002,-13.4,38.15,5,P
670031003,-13.29,37.74,898,N
670032002,-12.79,38.1,58,P
670032003,-12.7,37.78,1351,P
670033002,-12.24,38.25,649,P
670033003,-12.21,37.99,619,P
670034002,-11.45,38.12,429,P
670034003,-11.5,37.87,1008,P
670035001,-10.82,38.35,35,P
670035002,-10.67,38.07,1029,N
670035003,-10.74,37.8,1124,P
670035004,-10.66,37.53,1171,P
670036011,-9.76,38.46,1183,P
670036012,-9.75,37.9,1479,N
670036021,-8.39,38.7,1055,P
670036022,-8.84,38.26,660,P
670036023,-8.88,38.03,641,P
670037009,-15.73,37.1,503,N
670038001,-15.07,37.09,889,P
670038002,-15.52,36.47,1427,P
670038003,-15.61,36.79,536,P
670039001,-13.84,36.82,896,N
670039002,-14.2,37.02,1301,P
670039003,-14.62,37.06,656,N
670039004,-14.6,36.82,1283,P
670039005,-14.81,36.63,503,P
670039006,-14.74,36.46,1244,P
670040001,-13.64,37.31,662,P
670040002,-14.26,37.33,1784,P
670041001,-13.31,37.22,223,P
670041002,-13.12,36.99,155,P
670041003,-13.36,36.65,339,P
670042001,-12.59,37.08,1051,N
670042002,-12.69,36.76,862,N
670042003,-12.89,37.1,666,P
670043001,-11.67,37.5,1831,P
670043002,-11.74,36.98,4057,P
670043003,-12.35,36.85,2692,P
670043004,-12.33,37.7,813,N
670044001,-11.12,37.04,727,N
670044002,-11.26,36.49,824,P
670044003,-11.09,36.2,642,P
670045001,-10.42,37.06,987,P
670045002,-10.3,36.58,1031,P
670045003,-10.19,36.2,281,P
670045004,-10.68,36.3,1029,P
670045005,-10.76,37.12,1196,P
670046001,-8.07,37.82,445,P
670046002,-7.65,37.28,512,P
670046003,-7.99,37.14,710,P
670046004,-8.78,36.98,496,P
670046005,-9.97,36.01,528,N
670046006,-9.53,36.86,876,P
670046007,-9.14,37.59,910,N
670046008,-9.9,37.25,992,N
670048001,-15.91,35.77,928,N
670048002,-16.4,36.12,313,P
670048003,-16.98,35.55,773,P
670049001,-15.43,36.16,919,P
670049002,-15.42,35.44,742,P
670050001,-14.76,36.17,701,P
670050002,-14.71,35.72,958,P
670050003,-14.6,35.1,715,P
670050004,-14.95,35.26,839,P
670051001,-13.79,35.49,786,N
670051002,-13.65,34.98,704,P
670051003,-14.16,34.96,455,N
670051004,-14.08,35.32,1116,P
670052001,-13.68,36.53,589,P
670052002,-13.69,36.23,449,P
670052003,-13.69,35.92,766,P
670052004,-13.99,35.99,678,P
670052005,-14.11,36.42,1043,P
670053001,-12.93,36.49,790,P
670053002,-12.88,36.23,1073,P
670053003,-12.75,35.95,1265,P
670054001,-12.42,35.71,427,P
670054002,-12.36,35.31,407,P
670054003,-12.78,35.09,1278,P
670054004,-12.65,35.39,801,P
670054005,-12.95,35.61,1231,P
670055001,-11.82,35.59,719,P
670055002,-11.71,34.27,2193,P
670056011,-10.04,35.48,348,P
670056012,-10.65,35.67,833,P
670056013,-11.17,34.71,508,P
670056021,-10.59,34.68,2720,P
670057001,-13.66,34.41,1078,N
670057002,-14.11,34.22,627,N
670057003,-14.56,34.44,965,N
670058001,-13.33,35.36,1198,N
670058002,-13.44,34.68,887,P
670058003,-13.19,34.31,1023,N
670059001,-12.56,34.79,947,P
670059002,-12.59,34.62,554,P
670059003,-12.53,34.33,1571,P
670060001,-13.18,33.63,858,P
670060002,-13.66,33.66,670,P
670060003,-13.58,33.25,756,N
670060004,-13.54,32.75,1098,P
670060005,-13.16,32.1,560,N
670060009,-13.56,32.11,207,P
670061011,-12.34,33.75,1460,N
670061012,-12.35,33.1,854,N
670061013,-12.72,33.31,1321,P
670061029,-11.56,32.74,2801,N
670061031,-12.27,31.77,2170,P
670061032,-12.75,31.8,927,P
670101001,-6.37,54.09,892,P
670101002,-4.16,54.33,1160,P
670101003,-4.14,52.87,102,P
670102001,-11.66,57.3,1586,P
670102002,-9.92,57.03,1436,N
670102003,-11.25,54.9,268,P
670103001,-11.09,50.1,913,P
670103002,-10.37,50.44,943,P
670103003,-9.45,50.64,1736,P
670103004,-9.83,52.39,1923,P
670103009,-8.43,51.74,420,P
670104001,-0.53,50.54,2203,N
670104009,-7.87,48.54,892,N
670105001,-9.01,49.24,743,P
670105009,-9.97,48.77,1934,P
670106002,-8.68,47.23,1626,P
670106003,-9.81,47.11,716,P
670106004,-10.2,47.33,748,P
670106009,-10.33,46.62,1353,P
670107001,-11.07,48.16,1066,P
670107002,-10.84,47.63,1029,P
670108001,-11.67,48.03,1123,P
670108002,-11.78,46.8,1103,P
670108003,-12.42,47.36,2797,N
670108004,-12.47,48.13,852,N
670109001,-13.19,47.54,603,P
670109002,-13.24,47.13,780,P
670109003,-13.2,46.73,1141,P
670109004,-12.76,46.11,710,P
670110013,-15.59,47.55,4820,N
670110014,-14.76,46.76,3094,N
670110021,-12.52,48.37,2198,P
670110022,-13.89,47.62,1698,P
670110029,-12.76,49.22,844,P
670111011,-18.66,48.84,3882,P
670111012,-18.48,47.97,2826,N
670111013,-19.78,48.39,1432,P
670111023,-18.92,47.21,101,P
670111029,-17.91,46.8,3980,N
670112012,-21.15,51.33,1977,P
670112019,-21.95,52.23,691,P
670112029,-20.18,53.14,1733,N
670112031,-18.92,49.79,1609,P
670112032,-19.16,50.06,464,N
670112033,-18.55,50.52,2739,N
670112039,-18.78,53.05,1950,N
670112041,-11.75,49.94,345,P
670112042,-11.95,50.77,1009,P
670112043,-12.68,50.83,1476,P
670112049,-13.35,52.64,2059,P
670113001,-14.48,54.47,886,P
670113002,-17.35,55.44,599,P
670113003,-20.05,55.15,892,P
670113004,-20.32,53.9,425,P
670114011,-24.22,54.24,1028,N
670114012,-26.02,54.04,332,P
670114019,-24.38,53.78,344,P
670114021,-27.17,56.19,1104,N
670114022,-27.94,52.4,1582,P
670114023,-34.98,55.92,1765,P
670114029,-32.92,51.26,1292,N
670115001,-21.94,47.87,553,P
670115009,-23.48,49.75,1792,P
670116001,-27.07,50.89,920,P
670116002,-27.5,50.5,590,P
670116003,-28.1,50.44,822,P
670116004,-28.8,51.1,962,P
670116009,-28.15,51.68,811,P
670117001,-27.87,49.78,1422,P
670117002,-28.3,49.15,1017,P
670117009,-28.21,48.62,75,P
670118001,-23.92,46.23,1065,P
670118002,-24.82,46.19,1595,P
670118003,-26.05,47.48,2575,P
670118009,-24.77,46,1026,P
670119001,-29.63,50.25,790,P
670119002,-32.03,43.75,1224,P
670119009,-27.75,46.04,1796,P
670120001,-39.32,41.63,1485,N
670120002,-37.17,38.94,2920,N
670120003,-37.74,35.3,1480,P
670121001,-23.47,42.88,929,P
670121002,-30.8,36.65,988,P
670121009,-25.99,41.12,480,P
670122001,-25.81,37.17,826,P
670122002,-25.96,36.89,472,P
670123001,-22,36.82,2100,P
670123002,-24.05,36.61,2848,N
670123009,-26.59,35.65,363,P
670124001,-22.86,37.94,1553,P
670124002,-23.71,37.97,1198,P
670124003,-24.64,37.63,1402,P
670124009,-23.49,39.04,621,P
670125001,-20.78,38.15,797,P
670125002,-21.42,38.04,1611,N
670125003,-22.15,37.81,2221,P
670126001,-19.77,37.34,847,P
670126002,-20.58,36.6,1708,P
670126003,-20.06,37.13,1119,N
670126004,-20.55,37.6,755,P
670127001,-19.83,38.27,398,P
670127002,-21.11,38.58,638,P
670127009,-20.93,39.78,459,P
670128001,-21.29,43.88,800,P
670128002,-21.02,43.01,1150,N
670128003,-19.23,41.34,208,P
670128004,-21.68,45.63,279,P
670128009,-22.38,45.58,655,P
670129001,-17.63,39.34,1341,P
670129002,-18.76,39.46,1388,P
670130001,-19.44,39.1,386,N
670130002,-19.03,38.99,733,P
670130003,-18.6,39.15,717,P
670130004,-18.46,38.75,487,P
670130005,-17.98,38.5,469,P
670130006,-17.26,38.32,1619,N
670131001,-18.52,38.07,940,P
670131002,-18.16,36.29,1039,P
670131003,-19.16,36.74,1021,P
670131004,-19.33,37.36,858,P
670131005,-19.52,37.77,855,P
670132001,-17.98,37.94,627,N
670132002,-17.87,37.28,686,N
670132003,-17.69,36.83,1048,N
670132004,-16.81,36.87,727,P
670132005,-17.02,37.44,495,P
670133001,-17.77,45.05,726,P
670133002,-17.48,44.29,709,P
670133003,-17.86,44.1,568,N
670133004,-18.46,44.73,846,P
670134001,-20.24,47.34,3110,P
670134002,-19.07,46.34,1323,P
670134003,-19.07,45.42,1087,N
670135001,-14.57,45.43,1226,N
670135002,-15.07,44.3,3199,N
670135009,-17,45.26,204,P
670136001,-16.26,43.43,1435,P
670136002,-16.83,43.54,1014,P
670136003,-16.94,44.49,1988,N
670137001,-15.4,43.45,662,P
670137002,-15.5,42.82,1586,P
670137003,-15.73,42.2,1575,P
670138001,-12.92,45.55,813,P
670138002,-13.6,44.77,1593,N
670139002,-11.28,43.89,368,P
670139003,-12.03,43.77,841,N
670139004,-11.98,44.05,850,P
670139005,-12.02,44.4,984,P
670139009,-12.5,44.7,126,P
670140001,-12.1,43.47,1109,P
670140002,-12.55,43.19,652,P
670140003,-13.03,43.67,1312,N
670140004,-12.79,44.95,1281,N
670141001,-12.64,42.64,592,P
670141002,-14.81,42.49,831,N
670141009,-13.96,42.54,153,P
670142001,-10.61,41.74,678,P
670142002,-10.51,41.09,792,P
670142003,-11.37,41.61,1256,N
670142004,-11.67,41.9,766,N
670142005,-11.85,42.34,1145,P
670143001,-5.89,39.9,662,P
670143002,-7.12,39.44,261,P
670143003,-7.07,39.94,545,P
670143004,-6.68,40.18,1242,P
670143005,-7.43,40.32,702,P
670144001,-9.93,43.33,3,P
670144002,-9.62,41.6,709,P
670144003,-7.95,40.72,1087,P
670144004,-7.3,40.88,837,P
670144009,-8.42,43.45,437,P
670145001,-6.63,41.76,1371,P
670145002,-5.71,40.84,2118,N
670145009,-5.12,42.36,1348,P
670146001,-7.48,38.21,3247,N
670146002,-6.54,37.73,1426,P
670146003,-5.88,36.95,659,P
670146004,-6.76,37.03,769,N
670146009,-4.96,38.91,45,P
670147001,-6.38,36.38,1093,P
670147002,-6.57,35.21,1447,N
670147003,-9.05,36.04,654,P
670147004,-9.45,35.25,829,N
670147009,-7.81,35.12,790,N
670148001,-4.73,36.48,759,N
670148002,-4,35.04,1177,N
670148003,-5.61,35.24,1031,P
670148009,-4.58,33.49,110,P
670149009,-7.62,31.61,1510,P
670150001,-1.09,36.34,1737,P
670150002,-1.83,35.52,1181,N
670150003,-1.26,35.6,615,N
670150004,-0.67,35.79,1176,N
670151001,-3.06,36.2,908,P
670151002,-2.12,34.71,1896,P
670151003,0.2,34.43,1412,P
670151009,-0.5,37.75,711,P
670152011,2.58,32.41,793,N
670152012,0.97,31.45,550,P
670152013,-1.54,33.22,1067,N
670152019,2.13,34.31,100,P
670152021,2.11,33.12,1170,P
670152022,0.26,32.26,2496,P
670152023,0.04,33.44,1495,P
670152029,1.71,33.16,80,P
670153001,3.69,35.9,504,N
670153009,3.7,39.07,355,P
670154001,-1.45,41.45,3001,N
670154002,-1.29,40.55,639,P
670155001,-2.7,39.72,1323,N
670155002,-2.87,39.06,2217,N
670155003,-1.93,38.88,137,P
670155009,-2.23,42.34,424,P
670156001,0.36,44.86,430,P
670156009,-3.76,45.42,2072,P
670157001,3.99,27.48,890,P
670157002,2,19.09,1457,P
670157003,-2.19,22.65,1229,P
670157009,-1.06,29.73,916,P
670158001,-8.66,23.55,2256,N
670158002,-8.17,18.81,1357,N
670158009,-6.46,29.67,875,N
670159001,-14.33,26.25,596,P
670160001,-20.03,26.49,1446,N
670160002,-19.91,22.06,594,P
670160009,-21.4,31.39,3384,N
670161001,-9.99,31.93,390,N
670161002,-10.27,27.02,246,P
670161009,-10.71,30.68,578,P
670162001,-12.25,30.19,713,P
670162002,-12.39,29.94,653,P
670162003,-13.1,30.14,1211,P
670162009,-12.04,30.5,202,P
670163001,-14.78,33.23,1224,P
670163002,-15.7,33.22,780,P
670163003,-16.48,33.34,1067,P
670163004,-15.95,34.04,1702,N
670163005,-14.9,30.95,404,N
670163009,-16.17,31.74,513,P
670164001,-17.94,35.96,1485,P
670164002,-18.28,35.42,295,P
670164009,-20.8,34.86,937,P
670165012,-30.35,30.67,2132,P
670165013,-29.51,25.23,1110,P
670165019,-26.15,31.87,1068,N
670165021,-28.69,30.85,1870,N
670166001,-35.98,26.87,2786,N
670167001,-32.58,32.28,1265,P
670167002,-37.1,29.94,1824,P
670167003,-36.87,19.77,574,N
670167004,-31.66,23.69,1346,N
670168011,-27.1,18.29,804,P
670168012,-22.7,10.83,792,P
670168021,-17.31,17.18,638,P
670168022,-21.91,16.09,1474,P
670169011,-11.13,11.58,1067,P
670169012,-12.47,8.95,436,P
670169013,-9.16,9.46,906,P
670169021,-0.91,14.69,1130,P
670169022,1.26,11.92,681,P
1070201001,-16.47,-38.52,894,N
1070201002,-11.62,-42.39,1226,N
1070201003,-14.31,-50.12,1302,N
1070201004,-14.99,-57.16,651,P
1070201005,-15.42,-56.03,1933,P
1070202001,-28.93,-48.83,2148,P
1070202002,-29.07,-56.91,2771,N
1070203001,-11.04,-70.99,1231,P
1070203002,-13.59,-63.24,1274,P
1070203003,-20.57,-63.06,1756,P
1070203008,-16,-71.6,1664,P
1070203009,-17.79,-71.63,1098,P
1070204001,-14.03,-71.2,1104,P
1070204002,-10.88,-73.26,1591,N
1070204009,-17.93,-72.6,6389,N
1070205001,-23,-65.91,1005,N
1070205002,-21.25,-67.25,934,P
1070205003,-22.21,-68.59,734,N
1070205004,-23.5,-67.82,717,N
1070205005,-23.73,-67.29,974,P
1070206001,-31.19,-64.46,1853,N
1070206002,-33.93,-70.23,884,P
1070206003,-29.41,-69.18,1695,N
1070206004,-25.97,-73.88,822,P
1070206005,-26.85,-70.66,1745,P
1070207001,-40.85,-54.15,1802,N
1070207002,-40.78,-58.86,925,P
1070207003,-40.75,-65.83,357,P
1070207004,-45.11,-66.2,535,P
1070207005,-44.36,-75.72,2765,N
1070207006,-39.78,-72.55,809,P
1070207007,-46.1,-78.15,1230,P
1070207008,-46.64,-78.43,1132,P
1070207009,-45.67,-78.64,1862,P
1099901001,-24.87,-13.87,1617,P
1099901002,-29.96,-13.57,1526,N
1099901003,-32.09,-13.78,1368,N
1099901004,-36.07,-12.63,702,N
1099902001,-39.83,-16.07,1546,P
1099902002,-43.9,-15.75,962,N
1099902003,-48.7,-13.81,1408,P
1099903001,-40.46,-22.94,887,P
1099904001,-43.47,-20.21,475,P
1099905001,-48.33,-21.44,1335,P
1099905002,-54.98,-19.07,2065,N
1099905003,-50.08,-24.6,1269,P
1099905004,-55.09,-30.15,782,P
1099905005,-51.08,-29.07,1590,N
1099906001,-46.06,-27.35,1343,N
1099906002,-42.19,-29.21,767,P
1099906003,-42.41,-29.62,1366,P
1099907001,-40.7,-26.89,2010,N
1099907002,-40.43,-28.26,1394,N
1099908001,-38.62,-26.76,2630,N
1099909001,-39.11,-28.29,1078,P
1099909002,-39.45,-29.95,699,N
1099910001,-40.99,-28.73,4436,P
1099910002,-41.94,-29.27,1856,N
1099910003,-40.91,-29.47,4250,N
1099910004,-41.73,-30.11,2473,P
1099911001,-40.69,-30.37,3075,N
1099911002,-42.33,-30.83,1283,P
1099912001,-41.57,-31.08,2687,N
1099912002,-42.59,-31.26,1193,N
1099913001,-42.3,-30.17,1870,P
1099913002,-42.68,-30.09,1071,P
1099913003,-43.66,-30.48,2689,P
1099914001,-47.49,-30.82,971,P
1099915001,-40.5,-32.88,5613,N
1099916001,-36.44,-33.88,524,P
1099917001,-37.1,-29.88,884,N
1099918001,-34.08,-27.82,3025,P
1099919001,-33.43,-21.47,1527,P
1099919002,-29.02,-22.49,427,P
1099919003,-25.81,-20.89,1509,P
1099919004,-28.63,-22.59,1925,N
1099919005,-27.06,-28.08,2335,P
1099920001,-26.46,-37.57,1242,P
1099920002,-32.28,-39.19,1550,N
1099920003,-37.73,-38.44,1035,P
