36.0,5.0,1211.0,58.12,59.47,58.16,70.66,72.39,70.81,1.216,1.217,1.217,59.45,73.88
37.0,1.0,1301.0,50.5,50.54,50.84,55.08,55.13,55.11,1.091,1.091,1.084,50.6,55.15
38.0,6.0,1401.0,56.29,56.73,56.86,40.3,40.48,40.53,0.716,0.713,0.713,55.35,39.0
39.0,1.0,1501.0,43.38,43.59,43.55,55.18,55.54,55.35,1.272,1.274,1.271,44.36,55.9
40.0,1.0,1503.0,45.21,40.05,45.77,50.78,45.23,51.17,1.123,1.129,1.118,45.0,50.6
41.0,1.0,1504.0,47.28,47.94,47.69,49.14,49.29,49.35,1.039,1.028,1.035,47.09,48.91
42.0,1.0,1505.0,41.34,41.15,40.98,44.39,44.38,44.17,1.074,1.078,1.078,41.17,44.29
43.0,5.0,1601.0,56.56,57.27,56.83,66.47,67.05,66.98,1.175,1.171,1.179,56.54,66.52
44.0,5.0,1604.0,53.21,53.86,50.16,55.51,56.03,52.28,1.043,1.04,1.042,52.99,55.4
45.0,5.0,1606.0,62.85,63.13,62.62,65.67,65.92,65.57,1.045,1.044,1.047,61.72,64.29
46.0,5.0,1704.0,64.55,65.45,64.94,72.43,73.37,72.81,1.122,1.121,1.121,63.64,72.25
47.0,5.0,1712.0,57.17,52.33,57.28,62.52,56.88,62.26,1.093,1.087,1.087,57.56,62.74
48.0,5.0,1801.0,55.72,56.7,56.23,51.9,52.38,52.16,0.931,0.924,0.928,56.14,51.79
49.0,5.0,1901.0,53.2,53.65,53.73,61.79,62.32,62.47,1.161,1.162,1.163,53.46,62.0
50.0,7.0,2001.0,38.46,38.31,38.75,41.11,41.02,41.34,1.069,1.071,1.067,37.93,40.44
51.0,7.0,2002.0,40.34,40.31,40.31,43.84,43.71,43.71,1.087,1.084,1.084,38.67,42.31
52.0,7.0,2003.0,39.85,39.89,38.33,41.28,41.43,40.05,1.036,1.039,1.045,38.05,39.5
53.0,7.0,2004.0,43.55,42.62,43.27,45.44,44.65,45.15,1.043,1.048,1.044,42.4,44.02
54.0,7.0,2005.0,47.5,47.02,48.5,51.16,50.89,51.2,1.077,1.082,1.056,45.76,49.23
55.0,7.0,2006.0,39.03,39.34,39.34,35.96,36.01,36.01,0.921,0.915,0.915,38.27,35.0
56.0,7.0,2007.0,45.47,45.57,45.87,53.07,53.24,53.26,1.167,1.168,1.161,45.25,52.69
57.0,7.0,2008.0,49.21,48.89,63.6,75.25,74.77,98.32,1.529,1.529,1.546,46.66,71.89
58.0,6.0,2101.0,60.73,61.06,60.63,64.31,64.82,64.3,1.059,1.061,1.06,60.38,64.04
59.0,6.0,2104.0,64.25,65.5,63.45,64.31,65.01,63.81,1.001,0.992,1.006,64.6,63.71
60.0,6.0,2105.0,60.09,60.12,60.4,71.39,71.05,70.98,1.188,1.182,1.175,58.0,69.04
61.0,6.0,2106.0,58.34,52.94,57.63,55.13,49.38,54.38,0.945,0.933,0.944,57.64,54.55
62.0,6.0,2107.0,54.4,54.4,54.22,61.58,61.58,61.4,1.132,1.132,1.132,54.1,60.67
63.0,8.0,2203.0,47.45,48.17,48.24,57.98,58.67,58.53,1.222,1.218,1.213,46.89,57.48
64.0,8.0,2204.0,45.84,40.26,46.01,49.37,45.56,49.34,1.077,1.132,1.072,45.78,49.41
65.0,8.0,2205.0,51.73,51.67,51.93,51.79,51.8,51.83,1.001,1.003,0.998,50.47,50.54
66.0,8.0,2206.0,43.92,44.02,43.5,54.22,54.35,53.79,1.234,1.235,1.237,43.77,53.94
67.0,8.0,2209.0,54.35,55.24,54.35,57.6,58.27,57.6,1.06,1.055,1.06,54.62,57.46
68.0,8.0,2210.0,43.47,44.22,44.71,50.19,50.95,43.29,1.155,1.152,0.968,42.77,49.64
