dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
26,4054.3179,-2381.5137,-1342.6821,3925.3933,2001.5242,3604.898,-2845.919,-2581.7434,-5917.233,4535.7715,-2021.54,-4779.1343,-579.5241,256.82404,-2804.0293,1129.3052,-3435.5989,5690.4897,377.14935,4507.4253,5656.901,5922.778,-2107.0676,-2579.9165,-3803.2961,6690.2017,-3579.2688,6482.2295,6065.2036,1488.7686,5746.3174,-2406.4731
27,2.850579,-1.8936155,-0.05999725,3.0719378,1.0439713,2.3833597,-1.6869701,-1.7215436,-3.8332314,2.735716,-1.1089169,-3.5517514,-0.56398714,0.57579863,-2.188912,1.2217903,-2.1031775,3.697672,0.35875982,2.5206304,3.5289707,4.322871,-1.3863821,-1.4850005,-2.0884423,4.6375117,-2.9475396,4.1441836,4.1972713,1.8152907,4.043944,-2.0973728
28,20.656063,-12.07093,-6.248904,20.12158,10.134398,18.001062,-14.580915,-13.003691,-29.753902,22.779488,-9.749749,-23.669432,-3.01767,1.9697254,-14.476293,5.8677816,-16.93897,28.319977,2.1654513,22.537422,28.533703,29.940624,-10.686121,-12.357935,-19.079817,33.701477,-17.871265,32.24415,30.373089,8.19792,28.953121,-12.389406
29,3.3382156,-2.5613148,0.3977272,3.5053039,1.6383699,2.1985323,-1.3813604,-0.7443991,-4.063672,2.5344229,-0.03364054,-3.2882195,-0.79129463,1.270532,-2.2653873,1.5341417,-1.5060351,3.463527,0.6145793,1.9990807,3.7976017,4.684779,-1.4317577,-0.43488726,-1.9310297,4.509681,-2.5952978,3.2468905,4.4030485,2.6322725,3.9816349,-2.7179916
30,2.9566576,-2.1127696,0.11099561,3.1308935,1.249964,2.2360034,-1.5185344,-1.2899013,-3.8395767,2.582059,-0.65721023,-3.36383,-0.60780305,0.84160614,-2.1714861,1.2879041,-1.8318045,3.5035095,0.4694268,2.2593408,3.5327816,4.3597207,-1.3505323,-1.0490447,-1.9591515,4.4447904,-2.7189255,3.6958816,4.1651983,2.0917907,3.8990707,-2.262446
31,4.210528,-2.9565103,0.05242731,4.352906,2.0534341,2.9775927,-2.2273335,-1.5109985,-5.3941183,3.6216989,-0.5304232,-4.2742963,-0.7937245,1.3835294,-2.954108,1.69389,-2.3449798,4.661739,0.7970277,3.209144,5.1002626,6.010074,-1.8929741,-1.0867078,-2.8339841,5.997269,-3.336555,4.77411,5.629878,2.9694498,5.284607,-3.1559756
32,2055.1882,-1207.2855,-680.1876,1989.707,1014.7921,1826.8239,-1442.3706,-1307.9988,-2999.127,2298.9153,-1023.8234,-2421.5625,-293.85022,130.81253,-1421.1251,572.4741,-1740.6572,2883.7485,191.32707,2284.2183,2867.3054,3001.7756,-1068.0625,-1306.7975,-1927.6687,3390.4688,-1813.4375,3284.5605,3073.775,754.9277,2912.2505,-1219.8165
33,121.963844,-71.66044,-40.099796,118.45522,59.560272,108.76284,-85.74999,-78.49062,-178.01944,136.31961,-61.562256,-144.69083,-17.547789,7.74256,-84.96768,34.39878,-103.791176,171.59036,11.302938,135.64784,169.91472,178.77335,-63.31883,-78.05567,-114.117935,202.052,-108.87441,196.06845,183.02509,45.209667,173.46324,-72.861176
34,10.734164,-6.506883,-2.7282267,10.876433,4.688075,9.66223,-7.264434,-7.089605,-15.389671,11.596803,-5.518958,-13.362002,-1.853103,0.79442245,-7.7644587,3.5766792,-9.0490465,15.116832,0.93050367,11.388604,14.511645,16.134977,-5.5332203,-6.832644,-9.529649,18.132929,-10.531332,17.35463,16.363403,4.617888,15.5235615,-6.99403
35,3.2966084,-2.3501585,0.045820504,3.386507,1.5328338,2.3405464,-1.7072284,-1.2436936,-4.2768373,2.8645391,-0.50429624,-3.434145,-0.6067103,1.0717014,-2.3239663,1.3132007,-1.8877251,3.6797843,0.59918207,2.5228274,3.937922,4.775895,-1.4856291,-0.98933905,-2.1803699,4.699645,-2.6503978,3.7980099,4.434343,2.311961,4.1789975,-2.4177034
36,8.768904,-5.102948,-2.395716,8.764171,3.9437115,7.8774133,-6.3210855,-6.083621,-12.661512,9.639567,-4.5646353,-10.70619,-1.2482232,0.87610114,-6.615369,2.7014985,-7.567022,12.3023,1.017074,9.694475,12.0454235,13.133966,-4.432367,-5.5603037,-7.996034,14.813591,-8.424261,14.438829,13.2666855,3.8826065,12.675123,-5.5443296
37,15.3086605,-8.927035,-4.592157,14.924482,7.461881,13.3459015,-10.891197,-9.782215,-22.067698,16.859905,-7.3165,-17.639051,-2.1845841,1.5609337,-10.90924,4.36245,-12.641809,21.032333,1.6885984,16.766603,21.12164,22.244692,-7.832114,-9.20623,-14.111493,25.051243,-13.376155,24.119991,22.572174,6.213126,21.524782,-9.228663
38,2.6935475,-1.8446162,0.03874375,2.9666297,0.9524328,2.263944,-1.5169685,-1.5729578,-3.5731997,2.5038316,-1.0151169,-3.420243,-0.6050032,0.5525098,-2.088171,1.2468817,-1.9389489,3.500604,0.3121448,2.261145,3.2897573,4.104932,-1.3091867,-1.3243011,-1.8998247,4.425214,-2.885861,3.8864408,4.0265417,1.7906296,3.8343353,-2.091761
39,6.256105,-3.600762,-1.5416205,6.3224535,2.6589055,5.721641,-4.578753,-4.603723,-9.031163,6.868825,-3.4151158,-7.919883,-0.81490195,0.6343479,-4.917762,1.9765491,-5.607087,8.865169,0.82742417,6.98961,8.564422,9.584051,-3.0904424,-4.12901,-5.6896205,10.759018,-6.4019623,10.589816,9.574015,3.0173056,9.174275,-4.0521646
40,29.98435,-17.762249,-9.277527,29.477123,14.189092,26.830862,-20.910633,-19.515335,-43.576557,33.219063,-15.282071,-36.091248,-4.537724,2.0034359,-21.16603,8.884391,-25.502306,42.22918,2.7334523,32.98215,41.43808,44.291115,-15.53112,-19.207106,-27.658398,50.00379,-27.533417,48.383938,45.23577,11.616582,42.89854,-18.366787
41,2.1799824,-1.5657287,0.27239874,2.5987236,0.5172309,1.9318583,-1.0929683,-1.3587548,-2.796827,1.9056019,-0.97562754,-3.1002412,-0.6981732,0.32653797,-1.7101465,1.2329934,-1.5637686,2.9249632,0.12770626,1.630676,2.4902205,3.5278466,-1.0949208,-1.164324,-1.395094,3.80204,-2.798946,3.2589684,3.4183865,1.5442123,3.241385,-1.9412086
42,41.45997,-24.345703,-13.441645,40.17665,20.338604,36.598503,-29.229273,-26.428967,-60.321617,46.11974,-20.452091,-48.415554,-5.9419765,3.1498213,-28.901352,11.641325,-34.807972,57.774963,4.023502,45.83144,57.569744,60.44953,-21.48785,-25.907215,-38.58825,68.223976,-36.349937,65.946266,61.743156,15.625982,58.619793,-24.707779
43,7437.741,-4369.2803,-2462.4067,7201.118,3672.6184,6612.5244,-5220.077,-4734.3345,-10854.717,8320.533,-3706.601,-8765.987,-1063.3954,471.3937,-5142.9746,2071.5864,-6301.3096,10438.164,691.9298,8267.8125,10377.581,10864.566,-3865.5942,-4731.5767,-6977.0117,12271.818,-6564.6377,11888.935,11125.643,2731.382,10540.6,-4414.527
44,3.021476,-2.1601586,0.10737109,3.1675186,1.3112148,2.2407143,-1.5401268,-1.258728,-3.9161751,2.6284795,-0.60989964,-3.3625495,-0.60302496,0.88963205,-2.1869798,1.281891,-1.8320061,3.5186825,0.5003731,2.297791,3.5969186,4.434221,-1.3658025,-1.0356306,-1.9972322,4.4625297,-2.6873782,3.6837773,4.19604,2.1394858,3.931458,-2.2819517
45,2.8458257,-1.8857725,-0.06412689,3.0777574,1.0297241,2.3975854,-1.6931593,-1.7446703,-3.826757,2.731262,-1.1342759,-3.5679111,-0.5718537,0.5625235,-2.1981814,1.2324979,-2.1155086,3.7142742,0.35121942,2.5204844,3.5265903,4.323488,-1.3881371,-1.4923289,-2.087247,4.6630044,-2.9779046,4.1763973,4.2158766,1.8107325,4.056763,-2.1105728
46,2.418611,-1.6680934,0.14281455,2.8227572,0.6527833,2.1683664,-1.33739,-1.5894644,-3.1739535,2.2229884,-1.1371186,-3.3797367,-0.68788016,0.36319113,-1.9326452,1.2649305,-1.8269012,3.2834675,0.18094167,2.0013938,2.877497,3.8803802,-1.2083213,-1.358268,-1.670633,4.2319355,-2.9992633,3.7329917,3.7925038,1.6433029,3.62172,-2.0547388
47,7.916105,-4.654486,-1.8665879,7.8775315,3.7374,6.862788,-5.616785,-5.088897,-11.242842,8.508475,-3.550239,-9.195037,-1.1079457,1.1186397,-5.9030085,2.419338,-6.4411707,10.695376,1.1080508,8.4474945,10.821038,11.64088,-3.9349418,-4.459076,-7.1108336,12.97464,-7.208764,12.3565035,11.649772,3.8005192,11.125254,-5.0540333
48,26.096634,-15.316401,-8.251454,25.30103,12.818354,22.876207,-18.415932,-16.532621,-37.837368,28.902836,-12.624388,-30.188313,-3.7407844,2.2533875,-18.250471,7.342967,-21.682304,36.100903,2.6476817,28.680267,36.135296,37.93969,-13.484286,-15.995119,-24.176693,42.74672,-22.685503,41.1836,38.65397,10.065682,36.749996,-15.5842085
49,343.04584,-201.41772,-113.62291,332.22296,168.99005,305.09406,-241.10873,-219.07439,-500.7211,383.72992,-171.53697,-404.5965,-48.995003,21.977095,-237.74641,95.70001,-290.9211,481.6021,31.98787,381.5492,478.48077,501.37872,-178.20526,-218.42891,-321.64615,566.4574,-303.26425,549.1736,513.39246,126.18823,486.50568,-203.78267
50,6.576659,-3.6655262,-1.6846895,6.8026247,2.5702744,6.3810196,-5.0120897,-5.410871,-9.612709,7.4243035,-4.169372,-8.926768,-0.8763021,0.3634148,-5.410569,2.1543267,-6.3672495,9.794558,0.7926027,7.674843,9.151088,10.356846,-3.2987301,-4.842148,-6.188026,11.894898,-7.433839,11.966551,10.468269,3.126898,10.036782,-4.3595185
51,3.2663517,-2.3858333,0.13414139,3.38513,1.5343316,2.2785866,-1.6049805,-1.1023419,-4.1675634,2.7235024,-0.37804794,-3.358987,-0.6557085,1.127046,-2.3062968,1.3700256,-1.7658999,3.5794613,0.6017021,2.3474143,3.84928,4.705018,-1.4499085,-0.8084858,-2.0682676,4.615113,-2.617058,3.6302083,4.400024,2.3886085,4.0873647,-2.4955218
52,4.929427,-2.8521452,-0.9581421,5.056647,1.9972576,4.5333195,-3.5859485,-3.6954448,-7.0588417,5.3541884,-2.659583,-6.37658,-0.62790096,0.56105125,-3.9777293,1.627532,-4.4447885,6.968647,0.73508686,5.427543,6.702174,7.6535673,-2.3942733,-3.2350426,-4.4308834,8.532757,-5.277663,8.360468,7.5572915,2.6228995,7.2564607,-3.2949958
53,43551.65,-25584.771,-14419.273,42164.12,21509.004,38716.973,-30564.543,-27715.504,-63559.023,48720.61,-21698.0,-51322.53,-6226.5225,2760.8596,-30110.512,12128.022,-36893.18,61117.023,4051.8386,48410.37,60766.676,63613.387,-22635.486,-27701.527,-40854.65,71851.984,-38431.035,69606.99,65142.008,15991.775,61716.023,-25846.809
54,42.74354,-25.08545,-13.821939,41.4458,20.963795,37.735973,-30.125004,-27.234324,-62.159187,47.55117,-21.053696,-49.889652,-6.146946,3.2382126,-29.7715,12.014535,-35.850483,59.535076,4.133668,47.223175,59.355476,62.315754,-22.18433,-26.66872,-39.790535,70.328766,-37.473633,67.91502,63.62275,16.111736,60.417316,-25.476856
55,31.257044,-18.515125,-9.644685,30.562145,15.073542,27.710712,-21.79121,-19.96822,-45.33963,34.5319,-15.425832,-37.02915,-4.6094427,2.3857646,-21.973545,9.124393,-26.277527,43.66012,3.0267172,34.22824,43.231857,45.850426,-16.144373,-19.51271,-28.804296,51.687542,-28.085743,49.836136,46.81541,12.213555,44.36747,-19.019814
56,31.257044,-18.515125,-9.644685,30.562145,15.073542,27.710712,-21.79121,-19.96822,-45.33963,34.5319,-15.425832,-37.02915,-4.6094427,2.3857646,-21.973545,9.124393,-26.277527,43.66012,3.0267172,34.22824,43.231857,45.850426,-16.144373,-19.51271,-28.804296,51.687542,-28.085743,49.836136,46.81541,12.213555,44.36747,-19.019814
57,11.807132,-6.864386,-3.3650212,11.68355,5.5332246,10.507238,-8.46681,-7.9117966,-17.0381,13.005575,-5.91755,-14.095141,-1.6672093,1.1563148,-8.694567,3.5242932,-10.026016,16.455175,1.3457109,13.009485,16.30077,17.453238,-6.007282,-7.301104,-10.8540745,19.707735,-10.941611,19.096622,17.694084,5.039256,16.868727,-7.3291254
58,692.6066,-406.7743,-229.17505,670.9024,341.31686,616.2053,-486.39322,-441.96323,-1010.9128,774.8402,-346.16348,-817.3682,-99.04638,43.846416,-479.6477,193.26608,-587.44727,972.58575,64.42347,770.21893,966.2294,1012.40295,-359.87698,-441.25586,-649.57806,1143.72,-612.6689,1108.5756,1036.7018,254.68301,982.2661,-411.50366
59,692.4491,-406.67346,-229.1309,670.7726,341.20416,616.0998,-486.29648,-441.91934,-1010.68994,774.67456,-346.14777,-817.24426,-99.03745,43.80665,-479.56012,193.24167,-587.35126,972.4064,64.39158,770.06537,966.01025,1012.21094,-359.80453,-441.1993,-649.4356,1143.5233,-612.6062,1108.4017,1036.5095,254.6171,982.08563,-411.43228
60,789.0842,-463.44336,-261.12518,764.32776,388.93146,702.0062,-554.1136,-503.41333,-1151.7183,882.7782,-394.28998,-931.1208,-112.85256,49.93257,-546.36957,220.15097,-669.21124,1108.0157,73.38246,877.48047,1100.8436,1153.359,-410.0288,-502.66455,-740.08624,1302.9497,-697.87683,1262.8469,1181.0488,290.1004,1119.0227,-468.78165
61,789.07153,-463.43448,-261.12265,764.3179,388.92123,701.99915,-554.10706,-503.41196,-1151.7009,882.76544,-394.2906,-931.11053,-112.85232,49.92882,-546.3631,220.14922,-669.204,1108.0016,73.37929,877.46857,1100.8263,1153.3444,-410.024,-502.66016,-740.07544,1302.9353,-697.87286,1262.8344,1181.0345,290.0943,1119.01,-468.77652
62,2.657021,-1.9562504,0.24782617,2.96897,0.9921217,2.1292086,-1.296008,-1.2428582,-3.3863552,2.207268,-0.7106232,-3.3028884,-0.68186235,0.6819284,-2.0610166,1.3661339,-1.6996682,3.3167548,0.35414162,1.8859541,3.1269183,3.9952374,-1.2179031,-0.9408785,-1.663388,4.249133,-2.8398557,3.5427012,3.979065,1.9930155,3.6420445,-2.2749326
63,213.05936,-125.006874,-70.57946,206.46162,104.7027,189.70444,-149.97256,-136.61922,-311.08304,238.39853,-107.02019,-251.76599,-30.374186,13.623114,-148.03812,59.530144,-181.0652,299.40668,19.907715,237.23616,297.1803,311.7067,-110.62555,-136.00403,-199.78407,352.2713,-188.94093,341.83228,319.16803,78.52164,302.49493,-126.69869
64,367.60876,-215.80904,-121.658714,356.09033,181.05313,327.0502,-258.36475,-234.86563,-536.568,411.25357,-183.8939,-433.81436,-52.49113,23.465906,-254.83936,102.58706,-311.87964,516.20276,34.294235,408.927,512.798,537.3923,-190.94724,-234.19397,-344.739,607.1454,-325.25897,588.6646,550.2524,135.30849,521.42786,-218.42998
65,152.76004,-89.608154,-50.566048,148.06584,74.984055,136.01797,-107.605736,-98.09901,-223.03577,170.8945,-76.82296,-180.55704,-21.76741,9.855892,-106.28214,42.725487,-129.86012,214.67725,14.30721,170.11305,213.01799,223.54092,-79.28854,-97.520386,-143.1818,252.65433,-135.56883,245.22884,228.87285,56.400597,216.94637,-90.89025
66,674.1802,-396.02646,-223.00223,652.6869,332.77826,599.12274,-473.24936,-429.17755,-983.7549,753.9899,-335.82425,-794.18585,-96.36723,43.26956,-466.4062,187.85301,-570.883,945.7917,62.898384,749.2275,940.42224,984.6559,-350.25497,-428.47174,-632.1768,1112.1273,-594.80725,1077.4735,1008.2127,247.89055,955.30194,-400.22308
67,338.7656,-198.8553,-112.1579,328.17755,166.77747,301.4592,-238.1572,-216.59985,-494.5145,379.01913,-169.62851,-399.91998,-48.360687,21.594759,-234.93819,94.55974,-287.52762,475.80646,31.594715,376.9309,472.57047,495.31537,-175.9597,-215.94077,-317.70026,559.64825,-299.89594,542.71423,507.18427,124.69015,480.62314,-201.31873
68,537.19794,-315.52893,-177.74387,520.1051,265.04633,477.46402,-377.20673,-342.2211,-783.9264,600.80774,-267.81897,-632.98517,-76.76564,34.484818,-371.80542,149.72044,-455.04376,753.7398,50.126904,597.11316,749.325,784.7104,-279.06766,-341.55316,-503.7111,886.3558,-474.15826,858.8828,803.4924,197.55907,761.34454,-318.95456
69,5.7599134,-3.4710999,-1.1489327,5.89204,2.4924588,5.086607,-3.977454,-3.836235,-8.132586,6.0735393,-2.7359948,-7.0449705,-0.90395814,0.78064996,-4.4227357,1.9740299,-4.764553,7.8959436,0.7433398,6.005128,7.733538,8.662949,-2.8558989,-3.348205,-4.9886622,9.662092,-5.6808167,9.188295,8.674895,2.9431918,8.260435,-3.8813553
70,2.1533065,-2.3015707,1.4675267,2.2681677,1.3326519,0.563246,0.3418625,1.2977669,-1.9052055,0.5005361,1.5826212,-1.6089817,-0.7926765,1.4449342,-1.0180542,1.3032529,0.211598,1.1711569,0.5985067,-0.32775062,1.5566591,2.7298234,-0.44056758,0.90545005,-0.21797562,1.5898188,-1.1461076,-0.018183764,2.2126176,2.6946979,1.6153057,-2.2030437
71,609.33484,-357.97955,-201.23433,589.8991,300.91193,541.215,-427.5297,-387.3945,-888.8696,681.2891,-302.90738,-717.18115,-87.196075,39.333298,-421.26678,169.79669,-515.4249,854.3249,56.863384,676.71423,849.8423,889.62225,-316.6504,-386.66858,-571.2327,1004.65674,-537.04663,972.83575,910.7664,224.16634,863.01874,-361.67728
72,3.089888,-2.3684406,0.33996668,3.2312138,1.4810137,2.051302,-1.2988771,-0.7563834,-3.804247,2.3828595,-0.104035236,-3.098185,-0.70924467,1.1619527,-2.1147313,1.3977256,-1.450132,3.2365093,0.5678158,1.9073311,3.5093875,4.386485,-1.3234355,-0.5018115,-1.7949095,4.1991816,-2.4321291,3.088511,4.0956287,2.416208,3.725099,-2.4834127
